mode,time_bin_s,served_ues,served_ues_smooth
IA-FMR,15.850000000000001,9.0,9.0
IA-FMR,15.950000000000001,9.0,9.0
IA-FMR,16.05,9.0,9.0
IA-FMR,16.150000000000002,9.0,9.0
IA-FMR,16.25,9.0,9.0
IA-FMR,16.35,9.0,9.0
IA-FMR,16.45,9.0,9.0
IA-FMR,16.55,9.0,9.0
IA-FMR,16.650000000000002,9.0,9.0
IA-FMR,16.75,9.0,9.0
IA-FMR,16.85,9.0,9.0
IA-FMR,16.95,9.0,9.0
IA-FMR,17.05,9.0,9.0
IA-FMR,17.150000000000002,9.0,9.0
IA-FMR,17.25,9.0,9.0
IA-FMR,17.35,9.0,9.0
IA-FMR,17.45,9.0,9.0
IA-FMR,17.55,9.0,9.0
IA-FMR,17.650000000000002,9.0,9.0
IA-FMR,17.75,9.0,9.0
IA-FMR,17.85,9.0,9.0
IA-FMR,17.95,9.0,9.0
IA-FMR,18.05,9.0,9.0
IA-FMR,18.150000000000002,9.0,9.0
IA-FMR,18.25,9.0,9.0
IA-FMR,18.35,9.0,9.0
IA-FMR,18.45,9.0,9.0
IA-FMR,18.55,9.0,9.0
IA-FMR,18.650000000000002,9.0,9.0
IA-FMR,18.75,9.0,9.0
IA-FMR,18.85,9.0,9.0
IA-FMR,18.95,9.0,9.0
IA-FMR,19.05,9.0,9.0
IA-FMR,19.150000000000002,9.0,9.0
IA-FMR,19.25,9.0,9.0
IA-FMR,19.35,9.0,9.0
IA-FMR,19.450000000000003,9.0,9.0
IA-FMR,19.55,9.0,9.0
IA-FMR,19.650000000000002,9.0,9.0
IA-FMR,19.75,9.0,9.0
IA-FMR,19.85,9.0,9.0
IA-FMR,19.950000000000003,9.0,9.0
IA-FMR,20.05,9.0,9.0
IA-FMR,20.150000000000002,9.0,9.0
IA-FMR,20.25,9.0,9.0
IA-FMR,20.35,9.0,9.0
IA-FMR,20.450000000000003,9.0,9.0
IA-FMR,20.55,9.0,9.0
IA-FMR,20.650000000000002,9.0,9.0
IA-FMR,20.75,9.0,9.0
IA-FMR,20.85,9.0,9.0
IA-FMR,20.950000000000003,9.0,9.0
IA-FMR,21.05,9.0,9.0
IA-FMR,21.150000000000002,9.0,9.0
IA-FMR,21.25,9.0,9.0
IA-FMR,21.35,9.0,9.0
IA-FMR,21.450000000000003,9.0,9.0
IA-FMR,21.55,9.0,9.0
IA-FMR,21.650000000000002,9.0,9.0
IA-FMR,21.75,9.0,9.0
IA-FMR,21.85,9.0,9.0
IA-FMR,21.950000000000003,9.0,9.0
IA-FMR,22.05,9.0,9.0
IA-FMR,22.150000000000002,9.0,9.0
IA-FMR,22.25,9.0,9.0
IA-FMR,22.35,9.0,9.0
IA-FMR,22.450000000000003,9.0,9.0
IA-FMR,22.55,9.0,9.0
IA-FMR,22.650000000000002,9.0,9.0
IA-FMR,22.75,9.0,9.0
IA-FMR,22.85,9.0,9.0
IA-FMR,22.950000000000003,9.0,9.0
IA-FMR,23.05,9.0,9.0
IA-FMR,23.150000000000002,9.0,9.0
IA-FMR,23.25,9.0,9.0
IA-FMR,23.35,9.0,9.0
IA-FMR,23.450000000000003,9.0,9.0
IA-FMR,23.55,9.0,9.0
IA-FMR,23.650000000000002,9.0,9.0
IA-FMR,23.75,9.0,9.0
IA-FMR,23.85,9.0,9.0
IA-FMR,23.950000000000003,9.0,9.0
IA-FMR,24.05,9.0,9.0
IA-FMR,24.150000000000002,9.0,9.0
IA-FMR,24.25,9.0,9.0
IA-FMR,24.35,9.0,9.0
IA-FMR,24.450000000000003,9.0,9.0
IA-FMR,24.55,9.0,9.0
IA-FMR,24.650000000000002,9.0,9.0
IA-FMR,24.75,9.0,9.0
IA-FMR,24.85,9.0,9.0
IA-FMR,24.950000000000003,9.0,9.0
IA-FMR,25.05,9.0,9.0
IA-FMR,25.150000000000002,9.0,9.0
IA-FMR,25.25,9.0,9.0
IA-FMR,25.35,9.0,9.0
IA-FMR,25.450000000000003,9.0,9.0
IA-FMR,25.55,9.0,9.0
IA-FMR,25.650000000000002,9.0,9.0
IA-FMR,25.75,9.0,9.0
IA-FMR,25.85,9.0,9.0
IA-FMR,25.950000000000003,9.0,9.0
IA-FMR,26.05,9.0,9.0
IA-FMR,26.150000000000002,9.0,9.0
IA-FMR,26.25,9.0,9.0
IA-FMR,26.35,9.0,9.0
IA-FMR,26.450000000000003,9.0,9.0
IA-FMR,26.55,9.0,9.0
IA-FMR,26.650000000000002,9.0,9.0
IA-FMR,26.75,9.0,9.0
IA-FMR,26.85,9.0,9.0
IA-FMR,26.950000000000003,9.0,9.0
IA-FMR,27.05,9.0,9.0
IA-FMR,27.150000000000002,9.0,9.0
IA-FMR,27.25,9.0,9.0
IA-FMR,27.35,9.0,9.0
IA-FMR,27.450000000000003,9.0,9.0
IA-FMR,27.55,9.0,9.0
IA-FMR,27.650000000000002,9.0,9.0
IA-FMR,27.75,9.0,9.0
IA-FMR,27.85,9.0,9.0
IA-FMR,27.950000000000003,9.0,9.0
IA-FMR,28.05,9.0,9.0
IA-FMR,28.150000000000002,9.0,9.0
IA-FMR,28.25,9.0,9.0
IA-FMR,28.35,9.0,9.0
IA-FMR,28.450000000000003,9.0,9.0
IA-FMR,28.55,9.0,9.0
IA-FMR,28.650000000000002,9.0,9.0
IA-FMR,28.75,9.0,9.0
IA-FMR,28.85,9.0,9.0
IA-FMR,28.950000000000003,9.0,9.0
IA-FMR,29.05,9.0,9.0
IA-FMR,29.150000000000002,9.0,9.0
IA-FMR,29.25,9.0,9.0
IA-FMR,29.35,9.0,9.0
IA-FMR,29.450000000000003,9.0,9.0
IA-FMR,29.55,9.0,9.0
IA-FMR,29.650000000000002,9.0,9.0
IA-FMR,29.75,9.0,9.0
IA-FMR,29.85,9.0,9.0
IA-FMR,29.950000000000003,9.0,9.0
IA-FMR,30.05,9.0,9.0
IA-FMR,30.150000000000002,9.0,9.0
IA-FMR,30.25,9.0,9.0
IA-FMR,30.35,9.0,9.0
MR,0.45,4.016806722689076,3.9228177757589524
MR,0.55,3.828828828828829,3.7964984002135704
MR,0.65,3.543859649122807,3.7450245996841844
MR,0.75,3.8623853211009176,3.756627111286696
MR,0.8500000000000001,3.8636363636363638,3.809574795813328
MR,0.9500000000000001,3.7027027027027026,3.730446355446355
MR,1.05,3.625,3.6589418365734154
MR,1.1500000000000001,3.6491228070175437,3.6662978164064595
MR,1.25,3.7247706422018347,3.73177400688265
MR,1.35,3.8214285714285716,3.7802806902577544
MR,1.4500000000000002,3.794642857142857,3.7939457314457314
MR,1.55,3.765765765765766,3.7844004719004722
MR,1.6500000000000001,3.7927927927927927,3.785574565391079
MR,1.75,3.7981651376146788,3.8389612854444657
MR,1.85,3.925925925925926,3.8127922592754397
MR,1.9500000000000002,3.7142857142857144,3.7019096271969834
MR,2.0500000000000003,3.4655172413793105,3.590369101163704
MR,2.15,3.591304347826087,3.598520109314712
MR,2.25,3.7387387387387387,3.6743418475683924
MR,2.35,3.692982456140351,3.7611910155769803
MR,2.45,3.8518518518518516,3.73815905504502
MR,2.5500000000000003,3.669642857142857,3.75790236612508
MR,2.6500000000000004,3.752212389380531,3.7284972033865844
MR,2.75,3.7636363636363637,3.763541175930557
MR,2.85,3.774774774774775,3.768058968058968
MR,2.95,3.765765765765766,3.774119574119574
MR,3.0500000000000003,3.7818181818181817,3.7747898872898875
MR,3.1500000000000004,3.7767857142857144,3.7862012987012985
MR,3.25,3.8,3.725
MR,3.35,3.5982142857142856,3.544662214479287
MR,3.45,3.2357723577235773,3.3760347634988954
MR,3.5500000000000003,3.2941176470588234,3.3133821383462703
MR,3.6500000000000004,3.41025641025641,3.349545450799067
MR,3.75,3.3442622950819674,3.516387187493745
MR,3.85,3.794642857142857,3.5220851931917507
MR,3.95,3.427350427350427,3.5361826354473416
MR,4.05,3.3865546218487395,3.3539463111655627
MR,4.15,3.2479338842975207,3.28649616871542
MR,4.25,3.225,3.18431129476584
MR,4.3500000000000005,3.08,3.1477371273712738
MR,4.45,3.138211382113821,3.1498721135971692
MR,4.55,3.231404958677686,3.2257695494946046
MR,4.65,3.3076923076923075,3.2993572084481175
MR,4.75,3.358974358974359,3.3213957759412303
MR,4.8500000000000005,3.2975206611570247,3.3224731299597607
MR,4.95,3.310924369747899,3.271685533717619
MR,5.050000000000001,3.206611570247934,3.2763371166106325
MR,5.15,3.3114754098360657,3.254616563982802
MR,5.25,3.2457627118644066,3.243123089747152
MR,5.3500000000000005,3.1721311475409837,3.1739646198017972
MR,5.45,3.104,3.151183500793231
MR,5.550000000000001,3.1774193548387095,3.1984896472051894
MR,5.65,3.3140495867768593,3.2087965255120676
MR,5.75,3.134920634920635,3.218527263981809
MR,5.8500000000000005,3.206611570247934,3.2295465477283662
MR,5.95,3.347107438016529,3.224573002754821
MR,6.050000000000001,3.12,3.329615522817104
MR,6.15,3.5217391304347827,3.2539130434782613
MR,6.25,3.12,3.3539690658872243
MR,6.3500000000000005,3.4201680672268906,3.5366993790523202
MR,6.45,4.06993006993007,3.635968785445014
MR,6.550000000000001,3.4178082191780823,3.709749241023472
MR,6.65,3.641509433962264,3.5614392177134486
MR,6.75,3.625,3.6305031446540874
MR,6.8500000000000005,3.625,3.625
MR,6.95,3.625,3.714679911699779
MR,7.050000000000001,3.8940397350993377,3.792671364691232
MR,7.15,3.858974358974359,3.8530880313578986
MR,7.25,3.80625,3.8175747863247858
MR,7.3500000000000005,3.7875,3.7999999999999994
MR,7.45,3.80625,3.7900491718426497
MR,7.550000000000001,3.7763975155279503,3.800085859473677
MR,7.65,3.8176100628930816,3.793835859473677
MR,7.75,3.7875,3.803786687631027
MR,7.8500000000000005,3.80625,3.7937499999999997
MR,7.95,3.7875,3.7941899585921326
MR,8.05,3.7888198757763973,3.7900232919254653
MR,8.15,3.79375,3.8000599795564924
MR,8.25,3.8176100628930816,3.7996200209643605
MR,8.35,3.7875,3.803786687631027
MR,8.450000000000001,3.80625,3.79004917184265
MR,8.55,3.7763975155279503,3.7942158385093165
MR,8.65,3.8,3.7938096540229433
MR,8.75,3.8050314465408803,3.803760482180293
MR,8.85,3.80625,3.7995938155136266
MR,8.950000000000001,3.7875,3.7941899585921326
MR,9.05,3.7888198757763973,3.7900232919254653
MR,9.15,3.79375,3.8000599795564924
MR,9.25,3.8176100628930816,3.7996200209643605
MR,9.35,3.7875,3.803786687631027
MR,9.450000000000001,3.80625,3.79004917184265
MR,9.55,3.7763975155279503,3.7942158385093165
MR,9.65,3.8,3.7938096540229433
MR,9.75,3.8050314465408803,3.803760482180293
MR,9.850000000000001,3.80625,3.7995938155136266
MR,9.950000000000001,3.7875,3.7941899585921326
MR,10.05,3.7888198757763973,3.7900232919254653
MR,10.15,3.79375,3.8000599795564924
MR,10.25,3.8176100628930816,3.7996200209643605
MR,10.350000000000001,3.7875,3.803786687631027
MR,10.450000000000001,3.80625,3.79004917184265
MR,10.55,3.7763975155279503,3.7942158385093165
MR,10.65,3.8,3.7938096540229433
MR,10.75,3.8050314465408803,3.803760482180293
MR,10.850000000000001,3.80625,3.7995938155136266
MR,10.950000000000001,3.7875,3.7941899585921326
MR,11.05,3.7888198757763973,3.7900232919254653
MR,11.15,3.79375,3.8000599795564924
MR,11.25,3.8176100628930816,3.7996200209643605
MR,11.350000000000001,3.7875,3.803786687631027
MR,11.450000000000001,3.80625,3.79004917184265
MR,11.55,3.7763975155279503,3.7942158385093165
MR,11.65,3.8,3.7938096540229433
MR,11.75,3.8050314465408803,3.803760482180293
MR,11.850000000000001,3.80625,3.7995938155136266
MR,11.950000000000001,3.7875,3.7941899585921326
MR,12.05,3.7888198757763973,3.7900232919254653
MR,12.15,3.79375,3.8000599795564924
MR,12.25,3.8176100628930816,3.7996200209643605
MR,12.350000000000001,3.7875,3.8642033542976932
