mode_label,pdb_ms,no_prazo_pct,tardias_pct,nao_recebidas_pct
RR,60.0,53.10030157574892,34.27108897334072,12.62860945091036
PF,60.0,47.12473797088409,29.76243013369843,23.11283189541749
MR,60.0,46.41006856633125,28.40849114528881,25.181440288379946
IA-FMR,60.0,66.88029390246442,19.83319989030899,13.286506207226589
RR,80.0,53.997981833667744,33.373408715421874,12.628609450910375
PF,80.0,47.58255796627544,29.30461013830708,23.11283189541749
MR,80.0,46.64298415426415,28.17557555735591,25.181440288379946
IA-FMR,80.0,67.19635977046237,19.51713402231102,13.286506207226603
