n_ues,mode,n_repetitions,aggregate_throughput_mbps_mean,aggregate_throughput_mbps_ci95,jain_rbg_slot_mean_mean,jain_rbg_slot_mean_ci95,mean_served_ues_per_slot_mean,mean_served_ues_per_slot_ci95,p5_flow_throughput_mbps_mean,p5_flow_throughput_mbps_ci95,mean_loss_ratio_mean,mean_loss_ratio_ci95,mean_delay_ms_mean,mean_delay_ms_ci95,pct_buf_gt0_alloc_eq0_mean,pct_buf_gt0_alloc_eq0_ci95
3,IA-FMR,100,101.72420729999997,0.0001851392150050145,0.9765626005803486,0.002067389849927658,2.9599027564216738,0.00631780085014935,8.476781899999999,1.5875999999990847e-05,0.12514312416666667,1.5989544630322069e-06,782.9843649999998,0.02144795510859415,0.0,0.0
5,IA-FMR,100,149.75163179999998,2.582250209749427,0.9726775902682627,0.0016485451720491414,4.972205165380398,0.005486231273168879,6.448823725000002,0.1990109282643373,0.2272558145,0.013324864176028666,1708.4028210000001,97.45318493182859,0.0,0.0
7,IA-FMR,100,127.38582390000002,7.393207100745106,0.9731165982383227,0.002124151681125639,6.9372339716055045,0.010113371373017824,2.465775313,0.20042412207024235,0.5304765832142856,0.027250160249462956,3808.7738857142854,110.22053899609307,0.0,0.0
9,IA-FMR,100,97.53219851999998,5.960734540436514,0.9942995030548041,0.00031234858912537706,9.0,0.0,1.2254073225,0.08824739925663244,0.7203983994444444,0.017088008906048616,4321.0645583333335,106.50097481618248,0.0,0.0
