Escalonador,Vazão agregada (Mbps),Índice de Jain dos RBGs,P5 por fluxo (Mbps),N bandas
RR,45.02734971258334,0.9965256923694669,0.6638212311791666,12
PF,33.050431627083334,0.5992035152433756,0.32869613497916667,12
MR,96.76837781543416,0.4127792155514945,0.00010412953125,12
IA-FMR,69.09081639058333,0.9737944970880815,0.9500304332291666,12
