time_s,alpha_mean,alpha_ci95,n_seeds,alpha_mean_smooth,alpha_ci95_smooth
0.45,0.9931108361585533,0.000657099818725392,100,0.9937634747616946,0.0006908904439017233
0.55,0.9944161133648359,0.0007246810690780546,100,0.9939693770391674,0.0007052416222191894
0.65,0.994381181594113,0.0007339439788541213,100,0.9943850574611576,0.0007337404511039803
0.75,0.9943578774245239,0.0007425963053797652,100,0.9943680921807712,0.0007381854634995795
0.8500000000000001,0.9943652175236767,0.0007380161062648519,100,0.9943642569010868,0.0007402714771177656
0.9500000000000001,0.9943696757550599,0.0007402020197086795,100,0.9943789919816838,0.0007376308995430802
1.05,0.9944020826663149,0.0007346745726557094,100,0.9944005934980736,0.0007362118551619638
1.1500000000000001,0.9944300220728463,0.0007337589731215024,100,0.9944186484108531,0.0007339500459294155
1.25,0.9944238404933984,0.000733416592011035,100,0.9944275177369882,0.0007334906126030546
1.35,0.99442869064472,0.0007332962726766266,100,0.9944236758631767,0.0007332171128988631
1.4500000000000002,0.9944184964514116,0.0007329384740089278,100,0.9944102476803613,0.0007359120959841529
1.55,0.9943835559449525,0.0007415015412669042,100,0.9943949739814948,0.0007369491326283378
1.6500000000000001,0.9943828695481204,0.000736407382609181,100,0.9943806716371663,0.0007395299513056141
1.75,0.9943755894184256,0.0007406809300407569,100,0.9943756151616525,0.0007401926311440251
1.85,0.9943683865184115,0.0007434895807821375,100,0.9943810488619986,0.0007398187538641719
1.9500000000000002,0.9943991706491588,0.0007352857507696211,100,0.9943763817883703,0.0007408176121308374
2.0500000000000003,0.9943615881975404,0.0007436775048407537,100,0.9943916643456644,0.0007376772207567809
2.15,0.9944142341902942,0.0007340684066599677,100,0.9943976045336053,0.0007366504387239445
2.25,0.9944169912129813,0.0007322054046711123,100,0.994416030057157,0.00073297940592604
2.35,0.9944168647681952,0.0007326644064470399,100,0.9944210556806837,0.0007331133871217745
2.45,0.994429311060875,0.0007344703502471714,100,0.9944251526694577,0.0007338519198427434
2.5500000000000003,0.9944292821793028,0.0007344210028340187,100,0.9944233201241571,0.0007343575926636556
2.6500000000000004,0.9944113671322935,0.0007341814249097765,100,0.9944047445518498,0.0007379013063342762
2.75,0.9943735843439532,0.0007451014912590337,100,0.9943996816851665,0.0007381478173864596
2.85,0.9944140935792527,0.0007351605359905687,100,0.9944037798873774,0.000738248829874534
2.95,0.994423661738926,0.0007344844623739999,100,0.9944194098090403,0.0007351512819442121
3.0500000000000003,0.9944204741089421,0.0007358088474680674,100,0.9944119413906322,0.0007372908478577396
3.1500000000000004,0.9943916883240282,0.0007415792337311514,100,0.9943978167167478,0.0007394013424301855
3.25,0.994381287717273,0.0007408159460913379,100,0.9943369062156565,0.0007513004863017057
3.35,0.9942377426056686,0.0007715062790826277,100,0.9942481956500197,0.0007760088134153424
3.45,0.9941255566271178,0.0008157042150720616,100,0.9941607908149533,0.0008015132341475532
3.5500000000000003,0.9941190732120734,0.0008173292082879705,100,0.9941266145630712,0.0008148636050649824
3.6500000000000004,0.9941352138500221,0.000811557391834915,100,0.9941434545344213,0.0008112773694058254
3.75,0.9941760765411684,0.0008049455080945909,100,0.9941587685414434,0.0008085920005195081
