mode,time_bin_s,effective_ues,top1_share_pct,effective_ues_smooth,top1_share_pct_smooth
IA-FMR,0.45,8.96333952235537,12.220705064548163,8.961733557030954,12.242428003972194
IA-FMR,0.55,8.96012759170654,12.264150943396226,8.96235979265427,12.249668983780206
IA-FMR,0.65,8.9636122639009,12.264150943396226,8.962446714600949,12.264150943396226
IA-FMR,0.75,8.963600288195405,12.264150943396226,8.96400088999148,12.264150943396226
IA-FMR,0.8500000000000001,8.964790117878135,12.264150943396226,8.96439350798389,12.264150943396226
IA-FMR,0.9500000000000001,8.964790117878135,12.264150943396226,8.964658961749064,12.264150943396226
IA-FMR,1.05,8.964396649490926,12.264150943396226,8.964298406798852,12.264150943396226
IA-FMR,1.1500000000000001,8.963708453027492,12.264150943396226,8.964045067346264,12.264150943396226
IA-FMR,1.25,8.964030099520379,12.264150943396226,8.963993488432614,12.264150943396226
IA-FMR,1.35,8.96424191274997,12.264150943396228,8.964528063706533,12.264150943396226
IA-FMR,1.4500000000000002,8.965312178849256,12.264150943396228,8.964467653539794,12.264150943396226
IA-FMR,1.55,8.963848869020158,12.264150943396226,8.964526963551984,12.264150943396226
IA-FMR,1.6500000000000001,8.964419842786542,12.264150943396226,8.964039193608953,12.264150943396226
IA-FMR,1.75,8.963848869020158,12.264150943396226,8.964470092125929,12.264150943396226
IA-FMR,1.85,8.965141564571084,12.264150943396226,8.964513588342891,12.264150943396226
IA-FMR,1.9500000000000002,8.964550331437431,12.264150943396226,8.964785165561656,12.264150943396226
IA-FMR,2.0500000000000003,8.96466360067645,12.264150943396226,8.964668016664005,12.264150943396226
IA-FMR,2.15,8.964790117878135,12.264150943396226,8.964616789348502,12.264150943396226
IA-FMR,2.25,8.964396649490926,12.264150943396226,8.964483702605825,12.264150943396226
IA-FMR,2.35,8.964264340448416,12.264150943396226,8.964360277575295,12.264150943396226
IA-FMR,2.45,8.964419842786542,12.264150943396226,8.964088252463583,12.264150943396226
IA-FMR,2.5500000000000003,8.963580574155792,12.264150943396226,8.964221339206262,12.264150943396226
IA-FMR,2.6500000000000004,8.96466360067645,12.264150943396226,8.964213608107723,12.264150943396226
IA-FMR,2.75,8.964396649490926,12.264150943396226,8.964441530205264,12.264150943396226
IA-FMR,2.85,8.964264340448416,12.264150943396226,8.96423036315324,12.264150943396226
IA-FMR,2.95,8.964030099520379,12.264150943396226,8.964093802782312,12.264150943396226
IA-FMR,3.0500000000000003,8.96398696837814,12.264150943396226,8.964234981846639,12.264150943396226
IA-FMR,3.1500000000000004,8.964687877641401,12.264150943396226,8.964636187318115,12.264150943396226
IA-FMR,3.25,8.965233715934804,12.264150943396226,8.964458878764377,12.264150943396226
IA-FMR,3.35,8.963455042716925,12.264150943396226,8.964186158280922,12.264150943396226
IA-FMR,3.45,8.963869716191038,12.264150943396226,8.963770575762036,12.264150943396226
IA-FMR,3.5500000000000003,8.96398696837814,12.264150943396226,8.96417342841521,12.264150943396226
IA-FMR,3.6500000000000004,8.96466360067645,12.264150943396226,8.964597377875224,12.264150943396226
IA-FMR,3.75,8.965141564571084,12.264150943396226,8.964741669344692,12.264150943396226
IA-FMR,3.85,8.964419842786542,12.264150943396226,8.964783841745254,12.264150943396226
IA-FMR,3.95,8.964790117878135,12.264150943396226,8.964398976347606,12.264150943396226
IA-FMR,4.05,8.96398696837814,12.264150943396226,8.964222626510201,12.264150943396226
IA-FMR,4.15,8.963890793274327,12.264150943396226,8.964039891467479,12.264150943396226
IA-FMR,4.25,8.96424191274997,12.264150943396228,8.96422767915391,12.264150943396226
IA-FMR,4.3500000000000005,8.964550331437431,12.264150943396226,8.964773547913358,12.264150943396226
IA-FMR,4.45,8.965528399552676,12.264150943396226,8.964498640631568,12.264150943396226
IA-FMR,4.55,8.963417190904595,12.264150943396226,8.964271768882769,12.264150943396226
IA-FMR,4.65,8.963869716191038,12.264150943396226,8.964025674991255,12.264150943396226
IA-FMR,4.75,8.964790117878135,12.264150943396226,8.964031948067413,12.264150943396226
IA-FMR,4.8500000000000005,8.963436010133064,12.264150943396226,8.964215323599246,12.264150943396226
IA-FMR,4.95,8.964419842786542,12.264150943396226,8.964207163351531,12.264150943396226
IA-FMR,5.050000000000001,8.964765637134986,12.264150943396226,8.964351732037523,12.264150943396226
IA-FMR,5.15,8.963869716191038,12.264150943396226,8.964475157068053,12.264150943396226
IA-FMR,5.25,8.964790117878135,12.264150943396226,8.964222750342413,12.264150943396226
IA-FMR,5.3500000000000005,8.96400841695807,12.264150943396226,8.96439839477571,12.264150943396226
IA-FMR,5.45,8.964396649490926,12.264150943396226,8.964084645156385,12.264150943396226
IA-FMR,5.550000000000001,8.963848869020158,12.264150943396226,8.964185144752642,12.264150943396226
IA-FMR,5.65,8.964309915746847,12.264150943396226,8.964424930999956,12.264150943396226
IA-FMR,5.75,8.965116008232862,12.264150943396226,8.964485341166695,12.264150943396226
IA-FMR,5.8500000000000005,8.964030099520379,12.264150943396226,8.964377692043795,12.264150943396226
IA-FMR,5.95,8.96398696837814,12.264150943396226,8.964346095471443,12.264150943396226
IA-FMR,6.050000000000001,8.965021218515812,12.264150943396226,8.964202825029787,12.264150943396226
IA-FMR,6.15,8.963600288195405,12.264150943396226,8.964813093217076,12.264150943396226
IA-FMR,6.25,8.965817772940017,12.264150943396226,8.964190637688901,12.264150943396226
IA-FMR,6.3500000000000005,8.96315385193128,12.264150943396226,8.963151047697714,12.264150943396226
IA-FMR,6.45,8.96048151822185,12.264150943396228,8.96125432061989,12.264150943396226
IA-FMR,6.550000000000001,8.96012759170654,12.264150943396226,8.960245567211643,12.264150943396226
IA-FMR,6.65,8.96012759170654,12.264150943396226,8.96012759170654,12.264150943396226
IA-FMR,6.75,8.96012759170654,12.264150943396226,8.96012759170654,12.264150943396226
IA-FMR,6.8500000000000005,8.96012759170654,12.264150943396226,8.96012759170654,12.264150943396226
IA-FMR,6.95,8.96012759170654,12.264150943396226,8.96012759170654,12.264150943396226
IA-FMR,7.050000000000001,8.96012759170654,12.264150943396226,8.96012759170654,12.264150943396226
IA-FMR,7.15,8.96012759170654,12.264150943396226,8.96012759170654,12.264150943396226
IA-FMR,7.25,8.96012759170654,12.264150943396226,8.96012759170654,12.264150943396226
IA-FMR,7.3500000000000005,8.96012759170654,12.264150943396226,8.96012759170654,12.264150943396226
IA-FMR,7.45,8.96012759170654,12.264150943396226,8.96012759170654,12.264150943396226
IA-FMR,7.550000000000001,8.96012759170654,12.264150943396226,8.96012759170654,12.264150943396226
IA-FMR,7.65,8.96012759170654,12.264150943396226,8.96012759170654,12.264150943396226
IA-FMR,7.75,8.96012759170654,12.264150943396226,8.96012759170654,12.264150943396226
IA-FMR,7.8500000000000005,8.96012759170654,12.264150943396226,8.96012759170654,12.264150943396226
IA-FMR,7.95,8.96012759170654,12.264150943396226,8.96012759170654,12.264150943396226
IA-FMR,8.05,8.96012759170654,12.264150943396226,8.96012759170654,12.264150943396226
IA-FMR,8.15,8.96012759170654,12.264150943396226,8.96012759170654,12.264150943396226
IA-FMR,8.25,8.96012759170654,12.264150943396226,8.96012759170654,12.264150943396226
IA-FMR,8.35,8.96012759170654,12.264150943396226,8.96012759170654,12.264150943396226
IA-FMR,8.450000000000001,8.96012759170654,12.264150943396226,8.96012759170654,12.264150943396226
IA-FMR,8.55,8.96012759170654,12.264150943396226,8.96012759170654,12.264150943396226
