scheduler,pdb_ms,mean,CI95_low,CI95_high,CI95,n
RR,60,40.0,30.349627107220314,49.650372892779686,9.650372892779684,100
PF,60,39.66666666666667,30.233412309523832,49.099921023809515,9.43325435714284,100
MR,60,41.16666666666667,32.02736828770408,50.305965045629264,9.13929837896259,100
IA-FMR,60,59.16666666666667,49.61311566715153,68.72021766618181,9.55355099951514,100
RR,80,40.0,30.349627107220314,49.650372892779686,9.650372892779684,100
PF,80,40.16666666666667,30.650194586479905,49.68313874685344,9.516472080186766,100
MR,80,43.33333333333334,34.15232037845382,52.51434628821286,9.18101295487952,100
IA-FMR,80,60.0,50.4056367090633,69.5943632909367,9.594363290936696,100
