scheduler,time_s,mean,CI95_low,CI95_high,n
RR,20.65,9.0,,,1
RR,20.75,9.0,,,1
RR,20.85,9.0,,,1
RR,20.950000000000003,9.0,,,1
RR,21.05,9.0,,,1
RR,21.15,9.0,,,1
RR,21.25,9.0,,,1
RR,21.35,9.0,,,1
RR,21.450000000000003,9.0,,,1
RR,21.55,9.0,,,1
RR,21.65,9.0,,,1
RR,21.75,9.0,,,1
RR,21.85,9.0,,,1
RR,21.950000000000003,9.0,,,1
RR,22.05,9.0,,,1
RR,22.15,9.0,,,1
RR,22.25,9.0,,,1
RR,22.35,9.0,,,1
RR,22.450000000000003,9.0,,,1
RR,22.55,9.0,,,1
RR,22.65,9.0,,,1
RR,22.75,9.0,,,1
RR,22.85,9.0,,,1
RR,22.950000000000003,9.0,,,1
RR,23.05,9.0,,,1
RR,23.15,9.0,,,1
RR,23.25,9.0,,,1
RR,23.35,9.0,,,1
RR,23.450000000000003,9.0,,,1
RR,23.55,9.0,,,1
RR,23.65,9.0,,,1
RR,23.75,9.0,,,1
RR,23.85,9.0,,,1
RR,23.950000000000003,9.0,,,1
RR,24.05,9.0,,,1
RR,24.15,9.0,,,1
RR,24.25,9.0,,,1
RR,24.35,9.0,,,1
RR,24.450000000000003,9.0,,,1
RR,24.55,9.0,,,1
RR,24.65,9.0,,,1
RR,24.75,9.0,,,1
RR,24.85,9.0,,,1
RR,24.950000000000003,9.0,,,1
RR,25.05,9.0,,,1
RR,25.15,9.0,,,1
RR,25.25,9.0,,,1
RR,25.35,9.0,,,1
RR,25.450000000000003,9.0,,,1
RR,25.55,9.0,,,1
RR,25.65,9.0,,,1
RR,25.75,9.0,,,1
RR,25.85,9.0,,,1
RR,25.950000000000003,9.0,,,1
RR,26.05,9.0,,,1
RR,26.15,9.0,,,1
RR,26.25,9.0,,,1
RR,26.35,9.0,,,1
RR,26.450000000000003,9.0,,,1
RR,26.55,9.0,,,1
RR,26.65,9.0,,,1
RR,26.75,9.0,,,1
RR,26.85,9.0,,,1
RR,26.950000000000003,9.0,,,1
RR,27.05,9.0,,,1
RR,27.15,9.0,,,1
RR,27.25,9.0,,,1
RR,27.35,9.0,,,1
RR,27.450000000000003,9.0,,,1
RR,27.55,9.0,,,1
RR,27.65,9.0,,,1
RR,27.75,9.0,,,1
RR,27.85,9.0,,,1
RR,27.950000000000003,9.0,,,1
RR,28.05,9.0,,,1
RR,28.15,9.0,,,1
RR,28.25,9.0,,,1
RR,28.35,9.0,,,1
RR,28.450000000000003,9.0,,,1
RR,28.55,9.0,,,1
RR,28.65,9.0,,,1
