time_s,alpha_t
0.45,0.9973917171052632
0.55,0.9976018114035088
0.65,0.998022
0.75,0.998022
0.8500000000000001,0.998022
0.95,0.998022
1.05,0.998022
1.15,0.998022
1.25,0.998022
1.35,0.998022
1.4500000000000002,0.998022
1.55,0.998022
1.65,0.998022
1.75,0.998022
1.85,0.998022
1.95,0.998022
2.0500000000000003,0.998022
2.15,0.998022
2.25,0.998022
2.35,0.998022
2.45,0.998022
2.5500000000000003,0.998022
2.6500000000000004,0.998022
2.75,0.998022
2.85,0.998022
2.95,0.998022
3.0500000000000003,0.998022
3.1500000000000004,0.998022
3.25,0.998022
3.35,0.998022
3.45,0.998022
3.5500000000000003,0.998022
3.65,0.998022
3.75,0.998022
3.85,0.998022
3.95,0.998022
4.05,0.998022
4.15,0.998022
4.25,0.998022
4.3500000000000005,0.998022
4.45,0.998022
4.55,0.998022
4.65,0.998022
4.75,0.998022
4.8500000000000005,0.998022
4.95,0.998022
5.050000000000001,0.998022
5.15,0.998022
5.25,0.998022
5.3500000000000005,0.998022
5.45,0.998022
5.550000000000001,0.998022
5.65,0.998022
5.75,0.998022
5.8500000000000005,0.998022
5.95,0.998022
6.050000000000001,0.998022
6.15,0.998022
6.25,0.998022
6.3500000000000005,0.998022
6.45,0.998022
6.550000000000001,0.998022
6.65,0.998022
6.75,0.998022
6.8500000000000005,0.998022
6.95,0.998022
7.050000000000001,0.998022
7.15,0.998022
7.25,0.998022
7.35,0.998022
7.45,0.998022
7.550000000000001,0.998022
7.65,0.998022
7.75,0.998022
7.85,0.998022
7.95,0.998022
8.05,0.998022
8.15,0.998022
8.25,0.998022
8.35,0.998022
8.450000000000001,0.998022
8.55,0.998022
8.65,0.998022
8.75,0.998022
8.85,0.998022
8.950000000000001,0.998022
9.05,0.998022
9.15,0.998022
9.25,0.998022
9.35,0.998022
9.45,0.998022
9.55,0.998022
9.65,0.998022
9.75,0.998022
9.85,0.998022
9.95,0.998022
10.05,0.998022
10.15,0.998022
10.25,0.998022
10.35,0.998022
10.45,0.998022
10.55,0.998022
10.65,0.998022
10.75,0.998022
10.85,0.998022
10.95,0.998022
11.05,0.998022
11.15,0.998022
11.25,0.998022
11.35,0.998022
11.45,0.998022
11.55,0.998022
11.65,0.998022
11.75,0.998022
11.85,0.998022
11.95,0.998022
12.05,0.998022
12.15,0.998022
12.25,0.998022
12.35,0.998022
12.45,0.998022
12.55,0.998022
12.65,0.998022
12.75,0.998022
12.85,0.998022
12.95,0.998022
13.05,0.998022
13.15,0.998022
13.25,0.9980720541666668
13.35,0.9981520541666667
13.45,0.9982320541666668
13.55,0.998262
13.65,0.998262
13.75,0.998262
13.85,0.998262
13.95,0.998262
14.05,0.998262
14.15,0.998262
14.25,0.998262
14.35,0.998262
14.45,0.998262
14.55,0.998262
14.65,0.998262
14.75,0.998262
14.85,0.998262
14.95,0.998262
15.05,0.998262
15.15,0.998262
15.25,0.998262
15.35,0.998262
15.45,0.998262
15.55,0.998262
15.65,0.998262
15.75,0.998262
15.85,0.998262
15.95,0.998262
16.05,0.998262
16.150000000000002,0.998262
16.25,0.998262
16.35,0.998262
16.45,0.998262
16.55,0.998262
16.650000000000002,0.998262
16.75,0.998262
16.85,0.998262
16.95,0.998262
17.05,0.998262
17.150000000000002,0.998262
17.25,0.998262
17.35,0.998262
17.45,0.998262
17.55,0.998262
17.650000000000002,0.998262
17.75,0.998262
17.85,0.998262
17.95,0.998262
18.05,0.998262
18.15,0.998262
18.25,0.998262
18.35,0.998262
18.45,0.998262
18.55,0.998262
18.65,0.998262
18.75,0.998262
18.85,0.998262
18.95,0.998262
19.05,0.998262
19.15,0.998262
19.25,0.998262
19.35,0.998262
19.450000000000003,0.998262
19.55,0.998262
19.65,0.998262
19.75,0.998262
19.85,0.998262
19.950000000000003,0.9982873583333336
20.05,0.9983133583333332
20.15,0.9983393583333332
20.25,0.99834
20.35,0.99834
20.450000000000003,0.99834
20.55,0.99834
20.65,0.99834
20.75,0.99834
20.85,0.99834
20.950000000000003,0.99834
21.05,0.99834
21.15,0.99834
21.25,0.99834
21.35,0.99834
21.450000000000003,0.99834
21.55,0.99834
21.65,0.99834
21.75,0.99834
21.85,0.99834
21.950000000000003,0.99834
22.05,0.99834
22.15,0.99834
22.25,0.99834
22.35,0.99834
22.450000000000003,0.99834
22.55,0.99834
22.65,0.99834
22.75,0.99834
22.85,0.99834
22.950000000000003,0.99834
23.05,0.99834
23.15,0.99834
23.25,0.99834
23.35,0.99834
23.450000000000003,0.99834
23.55,0.99834
23.65,0.99834
23.75,0.99834
23.85,0.99834
23.950000000000003,0.99834
24.05,0.99834
24.15,0.99834
24.25,0.99834
24.35,0.99834
24.450000000000003,0.99834
24.55,0.99834
24.65,0.99834
24.75,0.99834
24.85,0.99834
24.950000000000003,0.99834
25.05,0.99834
25.15,0.99834
25.25,0.99834
25.35,0.99834
25.450000000000003,0.99834
25.55,0.99834
25.65,0.99834
25.75,0.99834
25.85,0.99834
25.950000000000003,0.99834
26.05,0.99834
26.15,0.99834
26.25,0.99834
26.35,0.99834
26.450000000000003,0.99834
26.55,0.99834
26.65,0.99834
26.75,0.99834
26.85,0.99834
26.950000000000003,0.99834
27.05,0.99834
27.15,0.99834
27.25,0.99834
27.35,0.99834
27.450000000000003,0.99834
27.55,0.99834
27.65,0.99834
27.75,0.99834
27.85,0.99834
27.950000000000003,0.99834
28.05,0.99834
28.15,0.99834
28.25,0.99834
28.35,0.99834
28.450000000000003,0.99834
28.55,0.99834
28.65,0.99834
28.75,0.99834
28.85,0.99834
28.950000000000003,0.99834
29.05,0.99834
29.15,0.99834
29.25,0.99834
29.35,0.99834
29.450000000000003,0.99834
29.55,0.99834
29.65,0.99834
29.75,0.99834
29.85,0.99834
29.950000000000003,0.99834
30.05,0.99834
30.15,0.99834
30.25,0.99834
30.35,0.99834
