bandwidth_mhz,scheduler,metric,mean,CI95_low,CI95_high,CI95,n
10,RR,undelivered_packet_ratio_pct,97.45998580555556,97.31781169921909,97.60215991189203,0.14217410633647,100
10,RR,mean_packet_delay_ms,5250.678336111112,5223.479103941545,5277.877568280679,27.199232169567324,100
10,PF,undelivered_packet_ratio_pct,96.92466427777778,96.81940566606153,97.02992288949403,0.10525861171625,100
10,PF,mean_packet_delay_ms,5273.594816666667,5253.381842561298,5293.807790772035,20.212974105368183,100
10,MR,undelivered_packet_ratio_pct,91.80959188888887,91.61437501901858,92.00480875875917,0.19521686987029999,100
10,MR,mean_packet_delay_ms,2171.470682430556,2053.972627037099,2288.968737824013,117.49805539345677,100
10,IA-FMR,undelivered_packet_ratio_pct,94.49688388888889,94.24161998275841,94.75214779501937,0.25526390613048,100
10,IA-FMR,mean_packet_delay_ms,4267.357130555555,4207.751929566585,4326.962331544525,59.60520098896978,100
15,RR,undelivered_packet_ratio_pct,95.32009483333333,95.03875163027858,95.60143803638807,0.28134320305474,100
15,RR,mean_packet_delay_ms,5257.414097222222,5231.083270209319,5283.744924235125,26.33082701290301,100
15,PF,undelivered_packet_ratio_pct,95.06197552777778,94.84405693939641,95.27989411615914,0.21791858838136002,100
15,PF,mean_packet_delay_ms,5253.535769444445,5237.276095124123,5269.795443764767,16.25967432032234,100
15,MR,undelivered_packet_ratio_pct,85.36614113888889,85.07683207513286,85.65545020264493,0.28930906375604,100
15,MR,mean_packet_delay_ms,2237.0145518555555,2138.8561767581496,2335.1729269529615,98.15837509740597,100
15,IA-FMR,undelivered_packet_ratio_pct,92.32553949999999,91.88585408591636,92.76522491408362,0.43968541408362,100
15,IA-FMR,mean_packet_delay_ms,5191.557825,5148.580011424663,5234.535638575337,42.97781357533701,100
20,RR,undelivered_packet_ratio_pct,94.50172061111111,94.12334418820053,94.88009703402169,0.37837642291058,100
20,RR,mean_packet_delay_ms,5241.873861111111,5213.0352754534515,5270.712446768771,28.83858565766001,100
20,PF,undelivered_packet_ratio_pct,93.95203891666668,93.65769476199318,94.24638307134018,0.2943441546735,100
20,PF,mean_packet_delay_ms,5253.517572222222,5233.341525820505,5273.693618623939,20.176046401717183,100
20,MR,undelivered_packet_ratio_pct,77.3497226111111,77.01564918042722,77.68379604179499,0.33407343068388,100
20,MR,mean_packet_delay_ms,1892.6605033444444,1772.7405910921664,2012.5804155967223,119.91991225227795,100
20,IA-FMR,undelivered_packet_ratio_pct,89.16595516666668,88.47154777895824,89.86036255437511,0.69440738770844,100
20,IA-FMR,mean_packet_delay_ms,5090.050294444444,5032.585284166578,5147.51530472231,57.46501027786627,100
25,RR,undelivered_packet_ratio_pct,91.02606358333331,90.2408897666597,91.81123740000692,0.7851738166736001,100
25,RR,mean_packet_delay_ms,5067.511794444445,5009.981533867551,5125.0420550213385,57.5302605768937,100
25,PF,undelivered_packet_ratio_pct,92.51565169444444,92.13395406490719,92.8973493239817,0.38169762953725,100
25,PF,mean_packet_delay_ms,5204.045183333334,5179.1350134935565,5228.955353173111,24.91016983977674,100
25,MR,undelivered_packet_ratio_pct,70.82584927777778,70.21650728774149,71.43519126781406,0.60934199003629,100
25,MR,mean_packet_delay_ms,1435.6155108305556,1287.358163129712,1583.8728585313993,148.25734770084358,100
25,IA-FMR,undelivered_packet_ratio_pct,85.22460927777777,84.36489626585964,86.0843222896959,0.85971301191813,100
25,IA-FMR,mean_packet_delay_ms,4833.06878888889,4751.97079172908,4914.1667860487,81.09799715980975,100
30,RR,undelivered_packet_ratio_pct,89.73822358333334,89.0704789321514,90.40596823451527,0.66774465118194,100
30,RR,mean_packet_delay_ms,5049.133130555556,5003.858211943605,5094.408049167507,45.27491861195049,100
30,PF,undelivered_packet_ratio_pct,91.22411038888887,90.768438537425,91.67978224035275,0.45567185146388,100
30,PF,mean_packet_delay_ms,5144.476,5113.01052660294,5175.941473397059,31.46547339705947,100
30,MR,undelivered_packet_ratio_pct,66.64367577777777,65.64903669514628,67.63831486040927,0.9946390826314899,100
30,MR,mean_packet_delay_ms,921.8683192638888,816.3489994933649,1027.3876390344126,105.51931977052388,100
30,IA-FMR,undelivered_packet_ratio_pct,80.67003369444444,79.5644156976913,81.77565169119758,1.1056179967531399,100
30,IA-FMR,mean_packet_delay_ms,4621.52758611111,4540.980137222971,4702.0750349992495,80.5474488881388,100
40,RR,undelivered_packet_ratio_pct,85.39933169444444,83.99807948372069,86.8005839051682,1.40125221072376,100
40,RR,mean_packet_delay_ms,4885.643222222222,4801.904877439109,4969.381567005335,83.73834478311296,100
40,PF,undelivered_packet_ratio_pct,90.1503365277778,89.63553181041902,90.66514124513657,0.51480471735877,100
40,PF,mean_packet_delay_ms,5081.829211111111,5042.166342843424,5121.492079378799,39.66286826768764,100
40,MR,undelivered_packet_ratio_pct,65.48360113888889,63.998766042583746,66.96843623519402,1.48483509630514,100
40,MR,mean_packet_delay_ms,704.598538275,645.5624098253649,763.6346667246352,59.03612844963518,100
40,IA-FMR,undelivered_packet_ratio_pct,72.03983994444444,70.33103905383958,73.7486408350493,1.70880089060486,100
40,IA-FMR,mean_packet_delay_ms,4321.0645583333335,4214.563583517151,4427.565533149516,106.50097481618248,100
50,RR,undelivered_packet_ratio_pct,82.15870494444444,80.14203419876618,84.17537569012269,2.0166707456782498,100
50,RR,mean_packet_delay_ms,4673.327272222223,4535.871949492005,4810.78259495244,137.45532273021723,100
50,PF,undelivered_packet_ratio_pct,88.61366669444445,87.91840774350467,89.30892564538422,0.6952589509397801,100
50,PF,mean_packet_delay_ms,5019.068444444445,4977.6322022175245,5060.504686671366,41.43624222692028,100
50,MR,undelivered_packet_ratio_pct,66.8589021388889,65.32652416519461,68.39128011258317,1.53237797369428,100
50,MR,mean_packet_delay_ms,656.4038272972222,606.2563348270127,706.5513197674317,50.1474924702095,100
50,IA-FMR,undelivered_packet_ratio_pct,73.05954763888889,69.967097168999,76.15199810877877,3.09245046988988,100
50,IA-FMR,mean_packet_delay_ms,4364.0450527777775,4247.628696010266,4480.461409545289,116.41635676751136,100
60,RR,undelivered_packet_ratio_pct,85.13341802777778,83.19600992539561,87.07082613015994,1.9374081023821599,100
60,RR,mean_packet_delay_ms,4851.295911111111,4725.503248458507,4977.088573763715,125.79266265260388,100
60,PF,undelivered_packet_ratio_pct,87.39168769444444,86.5938380158591,88.18953737302978,0.79784967858534,100
60,PF,mean_packet_delay_ms,4939.308694444444,4892.623629902386,4985.993758986502,46.685064542058434,100
60,MR,undelivered_packet_ratio_pct,67.03584783333334,65.67415320146054,68.39754246520613,1.3616946318728,100
60,MR,mean_packet_delay_ms,634.6095063944445,573.7435848650769,695.475427923812,60.86592152936764,100
60,IA-FMR,undelivered_packet_ratio_pct,73.61545794444444,70.32547966864365,76.90543622024524,3.2899782758007903,100
60,IA-FMR,mean_packet_delay_ms,4612.403422222222,4457.809947971037,4766.996896473406,154.5934742511842,100
70,RR,undelivered_packet_ratio_pct,83.27298022222223,80.73468826802672,85.81127217641775,2.53829195419551,100
70,RR,mean_packet_delay_ms,4774.556836111111,4637.214439864166,4911.899232358056,137.3423962469451,100
70,PF,undelivered_packet_ratio_pct,86.94206230555555,86.16674548394957,87.71737912716154,0.77531682160599,100
70,PF,mean_packet_delay_ms,4899.940286111111,4847.879237204056,4952.001335018166,52.061048907054975,100
70,MR,undelivered_packet_ratio_pct,67.65633180555555,66.15352724982505,69.15913636128606,1.5028045557304999,100
70,MR,mean_packet_delay_ms,730.0782243805555,653.4168725857345,806.7395761753766,76.661351794821,100
70,IA-FMR,undelivered_packet_ratio_pct,76.21777524999999,73.0991058283313,79.33644467166867,3.11866942166869,100
70,IA-FMR,mean_packet_delay_ms,4568.633427777778,4411.079838565684,4726.187016989871,157.55358921209293,100
80,RR,undelivered_packet_ratio_pct,76.65905441666666,73.05352784452309,80.26458098881024,3.60552657214357,100
80,RR,mean_packet_delay_ms,4558.982616666666,4377.233919464373,4740.73131386896,181.7486972022932,100
80,PF,undelivered_packet_ratio_pct,87.43787347222222,86.69581181076197,88.17993513368248,0.74206166146025,100
80,PF,mean_packet_delay_ms,4950.521741666667,4906.955466170912,4994.088017162423,43.56627549575533,100
80,MR,undelivered_packet_ratio_pct,68.58522066666667,66.63067624968004,70.53976508365331,1.9545444169866402,100
80,MR,mean_packet_delay_ms,1150.5057073277778,1022.0840139028116,1278.927400752744,128.42169342496612,100
80,IA-FMR,undelivered_packet_ratio_pct,72.84733697222222,69.31485520326497,76.37981874117948,3.5324817689572496,100
80,IA-FMR,mean_packet_delay_ms,4551.881680277777,4407.479335449111,4696.284025106444,144.4023448286659,100
90,RR,undelivered_packet_ratio_pct,79.02767319444445,75.27351218190958,82.78183420697931,3.75416101253487,100
90,RR,mean_packet_delay_ms,4470.7867027777775,4297.147757728644,4644.425647826911,173.63894504913372,100
90,PF,undelivered_packet_ratio_pct,87.93347883333334,87.24328839591033,88.62366927075635,0.69019043742301,100
90,PF,mean_packet_delay_ms,4956.846825,4911.575374452893,5002.118275547106,45.27145054710643,100
90,MR,undelivered_packet_ratio_pct,69.45786122222222,67.53165769948032,71.38406474496412,1.9262035227419,100
90,MR,mean_packet_delay_ms,1520.199365663889,1373.1229994978992,1667.2757318298789,147.07636616598978,100
90,IA-FMR,undelivered_packet_ratio_pct,76.23822883333332,72.59196678376497,79.88449088290167,3.6462620495683504,100
90,IA-FMR,mean_packet_delay_ms,4631.158527777778,4483.230902978111,4779.086152577444,147.9276247996666,100
100,RR,undelivered_packet_ratio_pct,85.40350997222222,82.93546918479048,87.87155075965397,2.46804078743174,100
