bandwidth_mhz,identical_allocations_pct,same_served_set_pct,normalized_divergence,target_served_ues_mean,applied_served_ues_mean,target_jain_mean,applied_jain_mean
10,0.0,0.0,0.1961778826491936,9.0,7.299710347097598,0.9630482276558688,0.7984917140191524
15,100.0,100.0,0.0,9.0,9.0,0.9769450594942846,0.9769450594942846
20,100.0,100.0,0.0,9.0,9.0,0.9819596077348683,0.9819596077348683
25,100.0,100.0,0.0,9.0,9.0,0.9930964952905064,0.9930964952905064
30,100.0,100.0,0.0,9.0,9.0,0.9929382932652654,0.9929382932652654
40,98.54147196027571,100.0,0.000949547603053,9.0,9.0,0.9946267297837124,0.994299503054804
50,98.74369180223914,100.0,0.0019518212289698,8.976547845501333,8.976547845501333,0.9946074693129272,0.9930278576935772
60,99.29260474428249,100.0,0.0011951989769412,8.980714406811064,8.980714406811064,0.9951154175906712,0.9940994120141602
70,99.54156780736868,100.0,0.0006983668932066,8.982442548327283,8.982442548327283,0.9938347255028368,0.99328533565331
80,99.41119788524428,100.0,0.0010244035611849,8.980580434080744,8.980580434080744,0.9945843130410342,0.9936393361413416
90,99.46695668372884,100.0,0.000765364657004,8.9784574675164,8.9784574675164,0.9939540310091108,0.9933534509194802
100,99.3567749161412,100.0,0.0010326322602803,8.972570409799966,8.972570409799966,0.9941225276342824,0.9932063539319724
