scheduler,pdb_ms,mean,CI95_low,CI95_high,CI95,n
RR,60,12.016901268127917,9.384835740092099,14.648966796163736,2.6320655280358185,90
PF,60,15.315152944040552,12.404535415151624,18.22577047292948,2.9106175288889284,90
MR,60,17.47797516430629,14.788564567353005,20.167385761259574,2.6894105969532855,96
IA-FMR,60,8.171261714309063,5.6652208992462585,10.677302529371868,2.5060408150628044,91
RR,80,12.875520953611108,10.273041780821583,15.478000126400634,2.602479172789526,96
PF,80,16.285395634532602,13.480661268530442,19.090130000534764,2.80473436600216,97
MR,80,17.84325903625888,15.197132659168464,20.489385413349293,2.6461263770904146,99
IA-FMR,80,9.45451532421542,6.876393597806705,12.032637050624135,2.578121726408715,97
