scheduler,ue,time_s,mean,CI95_low,CI95_high,n
IA-FMR,1,12.65,11.320754716981131,,,1
IA-FMR,1,12.75,11.320754716981131,,,1
IA-FMR,1,12.85,11.320754716981131,,,1
IA-FMR,1,12.95,11.320754716981131,,,1
IA-FMR,1,13.05,11.320754716981131,,,1
IA-FMR,1,13.15,11.320754716981131,,,1
IA-FMR,1,13.25,11.320754716981131,,,1
IA-FMR,1,13.35,11.320754716981131,,,1
IA-FMR,1,13.45,11.320754716981131,,,1
IA-FMR,1,13.55,11.320754716981131,,,1
IA-FMR,1,13.65,11.320754716981131,,,1
IA-FMR,1,13.75,11.320754716981131,,,1
IA-FMR,1,13.85,11.320754716981131,,,1
IA-FMR,1,13.95,11.320754716981131,,,1
IA-FMR,1,14.05,11.320754716981131,,,1
IA-FMR,1,14.15,11.320754716981131,,,1
IA-FMR,1,14.25,11.320754716981131,,,1
IA-FMR,1,14.35,11.320754716981131,,,1
IA-FMR,1,14.45,11.320754716981131,,,1
IA-FMR,1,14.55,11.320754716981131,,,1
IA-FMR,1,14.65,11.320754716981131,,,1
IA-FMR,1,14.75,11.320754716981131,,,1
IA-FMR,1,14.85,11.320754716981131,,,1
IA-FMR,1,14.95,11.320754716981131,,,1
IA-FMR,1,15.05,11.320754716981131,,,1
IA-FMR,1,15.15,11.320754716981131,,,1
IA-FMR,1,15.25,11.320754716981131,,,1
IA-FMR,1,15.35,11.320754716981131,,,1
IA-FMR,1,15.45,11.320754716981131,,,1
IA-FMR,1,15.55,11.320754716981131,,,1
IA-FMR,1,15.65,11.320754716981131,,,1
IA-FMR,1,15.75,11.320754716981131,,,1
IA-FMR,1,15.85,11.320754716981131,,,1
IA-FMR,1,15.95,11.320754716981131,,,1
IA-FMR,1,16.05,11.320754716981131,,,1
IA-FMR,1,16.150000000000002,11.320754716981131,,,1
IA-FMR,1,16.25,11.320754716981131,,,1
IA-FMR,1,16.35,11.320754716981131,,,1
IA-FMR,1,16.45,11.320754716981131,,,1
IA-FMR,1,16.55,11.320754716981131,,,1
IA-FMR,1,16.650000000000002,11.320754716981131,,,1
IA-FMR,1,16.75,11.320754716981131,,,1
IA-FMR,1,16.85,11.320754716981131,,,1
IA-FMR,1,16.95,11.320754716981131,,,1
IA-FMR,1,17.05,11.320754716981131,,,1
IA-FMR,1,17.150000000000002,11.320754716981131,,,1
