scheduler,pdb_ms,delivered_on_time_pct,delivered_on_time_ci95,delivered_late_pct,not_received_pct,received_total_pct,received_total_ci95,n,sum_pct
RR,60,53.10030157574892,8.70250795220678,34.27108897334072,12.62860945091036,87.37139054908963,4.60977356553252,100,100.0
PF,60,47.12473797088409,9.266882890857591,29.76243013369843,23.11283189541749,76.88716810458253,5.67302669279041,100,100.0
MR,60,46.41006856633125,9.29196250483013,28.40849114528881,25.181440288379946,74.81855971162007,5.32600368503443,100,100.0
IA-FMR,60,66.88029390246442,8.56108138853481,19.83319989030899,13.286506207226589,86.7134937927734,4.86142455739213,100,100.0
RR,80,53.997981833667744,8.65284913735044,33.373408715421874,12.628609450910375,87.37139054908963,4.60977356553252,100,100.0
PF,80,47.58255796627544,9.29520951455675,29.30461013830708,23.11283189541749,76.88716810458253,5.67302669279041,100,100.0
MR,80,46.64298415426415,9.31124664320058,28.17557555735591,25.181440288379946,74.81855971162007,5.32600368503443,100,100.0
IA-FMR,80,67.19635977046237,8.55606213026661,19.51713402231102,13.286506207226603,86.7134937927734,4.86142455739213,100,100.0
