figure,panel,scheduler,ue,time_s,rbg_share_pct
fig06,(a) RR,RR,1,11.75,11.10929628251184
fig06,(a) RR,RR,1,11.85,11.109565978402754
fig06,(a) RR,RR,1,11.95,11.113858159815589
fig06,(a) RR,RR,1,12.05,11.11007852749822
fig06,(a) RR,RR,1,12.15,11.112740910011082
fig06,(a) RR,RR,1,12.25,11.10836961780358
fig06,(a) RR,RR,1,12.35,11.112149250120948
fig06,(a) RR,RR,1,12.45,11.109407756813418
fig06,(a) RR,RR,1,12.55,11.11448333885027
fig06,(a) RR,RR,1,12.65,11.113391445069697
fig06,(a) RR,RR,1,12.75,11.113200859973452
fig06,(a) RR,RR,1,12.85,11.107231715026332
fig06,(a) RR,RR,1,12.95,11.10897874507525
fig06,(a) RR,RR,1,13.05,11.112455635344594
fig06,(a) RR,RR,1,13.15,11.111029737083532
fig06,(a) RR,RR,1,13.25,11.10788508299548
fig06,(a) RR,RR,1,13.35,11.108492159074254
fig06,(a) RR,RR,1,13.45,11.11089073104025
fig06,(a) RR,RR,1,13.55,11.11157528159003
fig06,(a) RR,RR,1,13.65,11.11369432073292
fig06,(a) RR,RR,1,13.75,11.111518773879553
fig06,(a) RR,RR,1,13.85,11.111104731208314
fig06,(a) RR,RR,1,13.95,11.110857509974975
fig06,(a) RR,RR,1,14.05,11.113749145918012
fig06,(a) RR,RR,1,14.15,11.112188523541809
fig06,(a) RR,RR,1,14.25,11.111498906417236
fig06,(a) RR,RR,1,14.35,11.1103321862187
fig06,(a) RR,RR,1,14.45,11.112306851266146
fig06,(a) RR,RR,1,14.55,11.11142414134669
fig06,(a) RR,RR,1,14.65,11.10969922560219
fig06,(a) RR,RR,1,14.75,11.110412299091545
fig06,(a) RR,RR,1,14.85,11.10950573214724
fig06,(a) RR,RR,1,14.95,11.112999792245075
fig06,(a) RR,RR,1,15.05,11.110816004683931
fig06,(a) RR,RR,1,15.15,11.111077514379405
fig06,(a) RR,RR,1,15.25,11.1110775143794
fig06,(a) RR,RR,1,15.35,11.110970114991147
fig06,(a) RR,RR,1,15.45,11.11131568137445
fig06,(a) RR,RR,1,15.55,11.11182951374178
fig06,(a) RR,RR,1,15.65,11.113136458410096
fig06,(a) RR,RR,1,15.75,11.11064070119736
fig06,(a) RR,RR,1,15.85,11.10828788983117
fig06,(a) RR,RR,1,15.95,11.10978596447958
fig06,(a) RR,RR,1,16.05,11.111841293948894
fig06,(a) RR,RR,1,16.150000000000002,11.113158771440617
fig06,(a) RR,RR,1,16.25,11.11132642582882
fig06,(a) RR,RR,1,16.35,11.109784928726834
fig06,(a) RR,RR,1,16.45,11.110306430233974
fig06,(a) RR,RR,1,16.55,11.11162494347844
