scheduler,pdb_ms,delivered_on_time_pct,delivered_on_time_ci95,delivered_late_pct,delivered_late_ci95,not_received_pct,not_received_ci95,received_total_pct,received_total_ci95,mean,CI95_low,CI95_high,n
RR,60,53.10030157574892,8.70250795220678,34.27108897334072,6.78099459094032,12.62860945091036,4.60977356553252,87.37139054908963,4.60977356553252,53.10030157574892,44.39779362354214,61.8028095279557,100
PF,60,47.12473797088409,9.266882890857591,29.76243013369843,5.84777486030068,23.11283189541746,5.67302669279041,76.88716810458253,5.67302669279041,47.12473797088409,37.857855080026496,56.391620861741686,100
MR,60,46.41006856633125,9.29196250483013,28.40849114528881,5.70578822155398,25.18144028837993,5.32600368503443,74.81855971162007,5.32600368503443,46.41006856633125,37.118106061501116,55.70203107116138,100
IA-FMR,60,66.88029390246442,8.56108138853481,19.83319989030899,5.41948914431598,13.286506207226589,4.86142455739213,86.7134937927734,4.86142455739213,66.88029390246442,58.31921251392961,75.44137529099922,100
RR,80,53.997981833667744,8.65284913735044,33.373408715421874,6.6595630436396105,12.62860945091036,4.60977356553252,87.37139054908963,4.60977356553252,53.997981833667744,45.34513269631731,62.65083097101818,100
PF,80,47.58255796627544,9.29520951455675,29.30461013830708,5.83588011522677,23.11283189541746,5.67302669279041,76.88716810458253,5.67302669279041,47.58255796627544,38.287348451718685,56.87776748083219,100
MR,80,46.64298415426415,9.31124664320058,28.17557555735591,5.71840669339842,25.18144028837993,5.32600368503443,74.81855971162007,5.32600368503443,46.64298415426415,37.331737511063565,55.95423079746473,100
IA-FMR,80,67.19635977046237,8.55606213026661,19.51713402231102,5.389467006305599,13.286506207226589,4.86142455739213,86.7134937927734,4.86142455739213,67.19635977046237,58.640297640195755,75.75242190072898,100
