figure,panel,scheduler,time_s,value
fig05,(a) Effective number of UEs.,RR,10.05,8.999995720980165
fig05,(a) Effective number of UEs.,RR,10.15,8.999996810771329
fig05,(a) Effective number of UEs.,RR,10.25,8.999997059675954
fig05,(a) Effective number of UEs.,RR,10.35,8.99999766638593
fig05,(a) Effective number of UEs.,RR,10.45,8.99999692486954
fig05,(a) Effective number of UEs.,RR,10.55,8.999996515366142
fig05,(a) Effective number of UEs.,RR,10.65,8.999997359628162
fig05,(a) Effective number of UEs.,RR,10.75,8.999997091697134
fig05,(a) Effective number of UEs.,RR,10.85,8.999997720641161
fig05,(a) Effective number of UEs.,RR,10.95,8.999997265805709
fig05,(a) Effective number of UEs.,RR,11.05,8.999996572454782
fig05,(a) Effective number of UEs.,RR,11.15,8.999995876693726
fig05,(a) Effective number of UEs.,RR,11.25,8.99999499164202
fig05,(a) Effective number of UEs.,RR,11.35,8.999993534693019
fig05,(a) Effective number of UEs.,RR,11.45,8.999994865409782
fig05,(a) Effective number of UEs.,RR,11.55,8.999994909476497
fig05,(a) Effective number of UEs.,RR,11.65,8.999996738507077
fig05,(a) Effective number of UEs.,RR,11.75,8.99999582591335
fig05,(a) Effective number of UEs.,RR,11.85,8.999996425972745
fig05,(a) Effective number of UEs.,RR,11.95,8.999995339317694
fig05,(a) Effective number of UEs.,RR,12.05,8.999994988011684
fig05,(a) Effective number of UEs.,RR,12.15,8.999995528790986
fig05,(a) Effective number of UEs.,RR,12.25,8.999997091766462
fig05,(a) Effective number of UEs.,RR,12.35,8.999997443072472
fig05,(a) Effective number of UEs.,RR,12.45,8.999997378613594
fig05,(a) Effective number of UEs.,RR,12.55,8.999996753792203
fig05,(a) Effective number of UEs.,RR,12.65,8.999997666385932
fig05,(a) Effective number of UEs.,RR,12.75,8.999997417481303
fig05,(a) Effective number of UEs.,RR,12.85,8.99999746160737
fig05,(a) Effective number of UEs.,RR,12.95,8.999996126613302
fig05,(a) Effective number of UEs.,RR,13.05,8.999996254754134
fig05,(a) Effective number of UEs.,RR,13.15,8.999995272473983
fig05,(a) Effective number of UEs.,RR,13.25,8.99999575307171
fig05,(a) Effective number of UEs.,RR,13.35,8.9999950254335
fig05,(a) Effective number of UEs.,RR,13.45,8.999996112088551
fig05,(a) Effective number of UEs.,RR,13.55,8.999996076859391
fig05,(a) Effective number of UEs.,RR,13.65,8.999996448940975
fig05,(a) Effective number of UEs.,RR,13.75,8.99999644466367
fig05,(a) Effective number of UEs.,RR,13.85,8.999996361868817
fig05,(a) Effective number of UEs.,RR,13.95,8.999995606657874
fig05,(a) Effective number of UEs.,RR,14.05,8.999996306696232
fig05,(a) Effective number of UEs.,RR,14.15,8.999996015216846
fig05,(a) Effective number of UEs.,RR,14.25,8.999996621926822
fig05,(a) Effective number of UEs.,RR,14.35,8.999996401254089
fig05,(a) Effective number of UEs.,RR,14.45,8.999996775528325
fig05,(a) Effective number of UEs.,RR,14.55,8.999997400349718
fig05,(a) Effective number of UEs.,RR,14.65,8.999996920984096
fig05,(a) Effective number of UEs.,RR,14.75,8.999997810609594
fig05,(a) Effective number of UEs.,RR,14.85,8.999997689845799
fig05,(a) Effective number of UEs.,RR,14.95,8.999999024839864
fig05,(a) Effective number of UEs.,RR,15.05,8.999996938912158
fig05,(a) Effective number of UEs.,RR,15.15,8.999996650172555
fig05,(a) Effective number of UEs.,RR,15.25,8.999996650172555
fig05,(a) Effective number of UEs.,RR,15.35,8.999997301008598
fig05,(a) Effective number of UEs.,RR,15.45,8.99999686210999
fig05,(a) Effective number of UEs.,RR,15.55,8.999996400174192
fig05,(a) Effective number of UEs.,RR,15.65,8.999997093749466
fig05,(a) Effective number of UEs.,RR,15.75,8.999998796547812
fig05,(a) Effective number of UEs.,RR,15.85,8.999997779265879
fig05,(a) Effective number of UEs.,RR,15.95,8.999998058846472
fig05,(a) Effective number of UEs.,RR,16.05,8.999996211104135
fig05,(a) Effective number of UEs.,RR,16.150000000000002,8.999997214494039
fig05,(a) Effective number of UEs.,RR,16.25,8.999996345713074
fig05,(a) Effective number of UEs.,RR,16.35,8.999997731519612
fig05,(a) Effective number of UEs.,RR,16.45,8.999998207347438
fig05,(a) Effective number of UEs.,RR,16.55,8.999999538064202
fig05,(a) Effective number of UEs.,RR,16.650000000000002,8.99999852078227
fig05,(a) Effective number of UEs.,RR,16.75,8.999997417481303
fig05,(a) Effective number of UEs.,RR,16.85,8.999995714682958
fig05,(a) Effective number of UEs.,RR,16.95,8.999996824096117
fig05,(a) Effective number of UEs.,RR,17.05,8.999997313782888
fig05,(a) Effective number of UEs.,RR,17.150000000000002,8.999998162184893
fig05,(a) Effective number of UEs.,RR,17.25,8.999997677593123
fig05,(a) Effective number of UEs.,RR,17.35,8.999997677593123
fig05,(a) Effective number of UEs.,RR,17.45,8.999997559569112
fig05,(a) Effective number of UEs.,RR,17.55,8.999997938137623
fig05,(a) Effective number of UEs.,RR,17.650000000000002,8.999998075923992
fig05,(a) Effective number of UEs.,RR,17.75,8.999999048344344
fig05,(a) Effective number of UEs.,RR,17.85,8.99999866854373
fig05,(a) Effective number of UEs.,RR,17.95,8.999998254746059
fig05,(a) Effective number of UEs.,RR,18.05,8.99999777891823
fig05,(a) Effective number of UEs.,RR,18.15,8.99999793310472
fig05,(a) Effective number of UEs.,RR,18.25,8.999998452925649
fig05,(a) Effective number of UEs.,RR,18.35,8.999998928753476
fig05,(a) Effective number of UEs.,RR,18.45,8.999998774566986
fig05,(a) Effective number of UEs.,RR,18.55,8.999998171951203
fig05,(a) Effective number of UEs.,RR,18.65,8.999997317554863
fig05,(a) Effective number of UEs.,RR,18.75,8.999996738091642
fig05,(a) Effective number of UEs.,RR,18.85,8.999995862769659
fig05,(a) Effective number of UEs.,RR,18.95,8.999995282074332
fig05,(a) Effective number of UEs.,RR,19.05,8.999996015724044
fig05,(a) Effective number of UEs.,RR,19.15,8.999997387638555
fig05,(a) Effective number of UEs.,RR,19.25,8.999997732939056
fig05,(a) Effective number of UEs.,RR,19.35,8.999997461960655
fig05,(a) Effective number of UEs.,RR,19.450000000000003,8.999997324174286
fig05,(a) Effective number of UEs.,RR,19.55,8.999997952029652
fig05,(a) Effective number of UEs.,RR,19.65,8.999997915002586
fig05,(a) Effective number of UEs.,RR,19.75,8.999997893661073
fig05,(a) Effective number of UEs.,RR,19.85,8.99999835559687
fig05,(a) Effective number of UEs.,RR,19.950000000000003,8.999998751430093
fig05,(a) Effective number of UEs.,RR,20.05,8.999998751430093
fig05,(a) Effective number of UEs.,RR,20.15,8.999998275602266
fig05,(a) Effective number of UEs.,RR,20.25,8.999997785915498
fig05,(a) Effective number of UEs.,RR,20.35,8.99999795893541
fig05,(a) Effective number of UEs.,RR,20.450000000000003,8.999997579134794
fig05,(a) Effective number of UEs.,RR,20.55,8.999998098375707
fig05,(a) Effective number of UEs.,RR,20.65,8.999998190506936
fig05,(a) Effective number of UEs.,RR,20.75,8.99999868587375
fig05,(a) Effective number of UEs.,RR,20.85,8.99999890012923
fig05,(a) Effective number of UEs.,RR,20.950000000000003,8.999997934939733
fig05,(a) Effective number of UEs.,RR,21.05,8.999997660245654
fig05,(a) Effective number of UEs.,RR,21.15,8.999997288533834
fig05,(a) Effective number of UEs.,RR,21.25,8.999997848382412
fig05,(a) Effective number of UEs.,RR,21.35,8.999997802218553
fig05,(a) Effective number of UEs.,RR,21.450000000000003,8.999997959674893
fig05,(a) Effective number of UEs.,RR,21.55,8.99999837455875
fig05,(a) Effective number of UEs.,RR,21.65,8.99999757646059
fig05,(a) Effective number of UEs.,RR,21.75,8.999996681302909
fig05,(a) Effective number of UEs.,RR,21.85,8.999996340122584
fig05,(a) Effective number of UEs.,RR,21.950000000000003,8.999995844497443
fig05,(a) Effective number of UEs.,RR,22.05,8.999996688759465
fig05,(a) Effective number of UEs.,RR,22.15,8.999996928265622
fig05,(a) Effective number of UEs.,RR,22.25,8.999998268152783
fig05,(a) Effective number of UEs.,RR,22.35,8.999998903108493
fig05,(a) Effective number of UEs.,RR,22.450000000000003,8.999998509415846
fig05,(a) Effective number of UEs.,RR,22.55,8.999999144371555
fig05,(a) Effective number of UEs.,RR,22.65,8.99999816921142
fig05,(a) Effective number of UEs.,RR,22.75,8.999998283323473
fig05,(a) Effective number of UEs.,RR,22.85,8.999997727406706
fig05,(a) Effective number of UEs.,RR,22.950000000000003,8.999998146650073
fig05,(a) Effective number of UEs.,RR,23.05,8.999997408948731
fig05,(a) Effective number of UEs.,RR,23.15,8.9999979648655
fig05,(a) Effective number of UEs.,RR,23.25,8.999997819340315
fig05,(a) Effective number of UEs.,RR,23.35,8.999998663602335
