figure,panel,scheduler,time_s,value
fig05,(b) Largest individual allocation share.,RR,14.75,11.115653389238297
fig05,(b) Largest individual allocation share.,RR,14.85,11.11474682229399
fig05,(b) Largest individual allocation share.,RR,14.95,11.112999792245075
fig05,(b) Largest individual allocation share.,RR,15.05,11.117367367367368
fig05,(b) Largest individual allocation share.,RR,15.15,11.11762887706284
fig05,(b) Largest individual allocation share.,RR,15.25,11.11762887706284
fig05,(b) Largest individual allocation share.,RR,15.35,11.116125285627296
fig05,(b) Largest individual allocation share.,RR,15.45,11.1164708520106
fig05,(b) Largest individual allocation share.,RR,15.55,11.116984684377924
fig05,(b) Largest individual allocation share.,RR,15.65,11.11756554867496
fig05,(b) Largest individual allocation share.,RR,15.75,11.11506979146222
fig05,(b) Largest individual allocation share.,RR,15.85,11.11823391709261
fig05,(b) Largest individual allocation share.,RR,15.95,11.11530290147616
fig05,(b) Largest individual allocation share.,RR,16.05,11.117358230945475
fig05,(b) Largest individual allocation share.,RR,16.150000000000002,11.117852285004869
fig05,(b) Largest individual allocation share.,RR,16.25,11.12195324899317
fig05,(b) Largest individual allocation share.,RR,16.35,11.120411751891185
fig05,(b) Largest individual allocation share.,RR,16.45,11.11623973983407
fig05,(b) Largest individual allocation share.,RR,16.55,11.11162494347844
fig05,(b) Largest individual allocation share.,RR,16.650000000000002,11.11478906910883
fig05,(b) Largest individual allocation share.,RR,16.75,11.117965487379587
fig05,(b) Largest individual allocation share.,RR,16.85,11.12046124459233
fig05,(b) Largest individual allocation share.,RR,16.95,11.12046124459233
fig05,(b) Largest individual allocation share.,RR,17.05,11.117877039897474
fig05,(b) Largest individual allocation share.,RR,17.150000000000002,11.1160800947043
fig05,(b) Largest individual allocation share.,RR,17.25,11.11519738478485
fig05,(b) Largest individual allocation share.,RR,17.35,11.11519738478485
fig05,(b) Largest individual allocation share.,RR,17.45,11.118443479327352
fig05,(b) Largest individual allocation share.,RR,17.55,11.1198202433062
fig05,(b) Largest individual allocation share.,RR,17.650000000000002,11.123400041787413
fig05,(b) Largest individual allocation share.,RR,17.75,11.119455135225342
fig05,(b) Largest individual allocation share.,RR,17.85,11.117494553609896
fig05,(b) Largest individual allocation share.,RR,17.95,11.11902712946761
fig05,(b) Largest individual allocation share.,RR,18.05,11.123199141524722
fig05,(b) Largest individual allocation share.,RR,18.15,11.12194498782219
fig05,(b) Largest individual allocation share.,RR,18.25,11.119918357905078
fig05,(b) Largest individual allocation share.,RR,18.35,11.115746345847962
fig05,(b) Largest individual allocation share.,RR,18.45,11.1170004995505
fig05,(b) Largest individual allocation share.,RR,18.55,11.11726744811485
fig05,(b) Largest individual allocation share.,RR,18.65,11.120062696193116
fig05,(b) Largest individual allocation share.,RR,18.75,11.120715249438195
fig05,(b) Largest individual allocation share.,RR,18.85,11.118825672345444
fig05,(b) Largest individual allocation share.,RR,18.95,11.118894407953922
fig05,(b) Largest individual allocation share.,RR,19.05,11.116987701006307
fig05,(b) Largest individual allocation share.,RR,19.15,11.119104383594106
fig05,(b) Largest individual allocation share.,RR,19.25,11.118736157120097
fig05,(b) Largest individual allocation share.,RR,19.35,11.121723786943036
fig05,(b) Largest individual allocation share.,RR,19.450000000000003,11.118143988461824
fig05,(b) Largest individual allocation share.,RR,19.55,11.116162063616414
fig05,(b) Largest individual allocation share.,RR,19.65,11.113736313618618
fig05,(b) Largest individual allocation share.,RR,19.75,11.117963493281104
fig05,(b) Largest individual allocation share.,RR,19.85,11.117449660913778
fig05,(b) Largest individual allocation share.,RR,19.950000000000003,11.116522717925406
fig05,(b) Largest individual allocation share.,RR,20.05,11.116522717925406
fig05,(b) Largest individual allocation share.,RR,20.15,11.120694729982525
fig05,(b) Largest individual allocation share.,RR,20.25,11.123278934677376
fig05,(b) Largest individual allocation share.,RR,20.35,11.118973373806313
fig05,(b) Largest individual allocation share.,RR,20.450000000000003,11.117012792190865
fig05,(b) Largest individual allocation share.,RR,20.55,11.116893676505711
fig05,(b) Largest individual allocation share.,RR,20.65,11.120057802136104
fig05,(b) Largest individual allocation share.,RR,20.75,11.118300145733116
fig05,(b) Largest individual allocation share.,RR,20.85,11.118920801145231
fig05,(b) Largest individual allocation share.,RR,20.950000000000003,11.116989873196426
fig05,(b) Largest individual allocation share.,RR,21.05,11.12135549239614
fig05,(b) Largest individual allocation share.,RR,21.15,11.1211223823822
fig05,(b) Largest individual allocation share.,RR,21.25,11.121059236717782
fig05,(b) Largest individual allocation share.,RR,21.35,11.118735600692128
fig05,(b) Largest individual allocation share.,RR,21.450000000000003,11.118348055293952
fig05,(b) Largest individual allocation share.,RR,21.55,11.117117944948134
fig05,(b) Largest individual allocation share.,RR,21.65,11.118300145733116
fig05,(b) Largest individual allocation share.,RR,21.75,11.118920801145231
fig05,(b) Largest individual allocation share.,RR,21.85,11.119424303845683
fig05,(b) Largest individual allocation share.,RR,21.950000000000003,11.119106019018956
fig05,(b) Largest individual allocation share.,RR,22.05,11.120247454259632
fig05,(b) Largest individual allocation share.,RR,22.15,11.119804009887824
fig05,(b) Largest individual allocation share.,RR,22.25,11.121263729955224
fig05,(b) Largest individual allocation share.,RR,22.35,11.116444336716832
fig05,(b) Largest individual allocation share.,RR,22.450000000000003,11.11814193479117
fig05,(b) Largest individual allocation share.,RR,22.55,11.113322541552778
fig05,(b) Largest individual allocation share.,RR,22.65,11.115211222686744
fig05,(b) Largest individual allocation share.,RR,22.75,11.116444640228854
fig05,(b) Largest individual allocation share.,RR,22.85,11.117296850008817
fig05,(b) Largest individual allocation share.,RR,22.950000000000003,11.11626037865481
fig05,(b) Largest individual allocation share.,RR,23.05,11.11649348866875
fig05,(b) Largest individual allocation share.,RR,23.15,11.115641278888791
fig05,(b) Largest individual allocation share.,RR,23.25,11.115746345847962
fig05,(b) Largest individual allocation share.,RR,23.35,11.116887781088636
fig05,(b) Largest individual allocation share.,RR,23.450000000000003,11.116887781088636
fig05,(b) Largest individual allocation share.,RR,23.55,11.1159305043495
fig05,(b) Largest individual allocation share.,RR,23.65,11.113166440580429
fig05,(b) Largest individual allocation share.,RR,23.75,11.116844398578143
fig05,(b) Largest individual allocation share.,RR,23.85,11.119340155790884
fig05,(b) Largest individual allocation share.,RR,23.950000000000003,11.118555393629874
fig05,(b) Largest individual allocation share.,RR,24.05,11.115469649208055
fig05,(b) Largest individual allocation share.,RR,24.15,11.117793285233711
fig05,(b) Largest individual allocation share.,RR,24.25,11.119967565909183
fig05,(b) Largest individual allocation share.,RR,24.35,11.123547364390395
fig05,(b) Largest individual allocation share.,RR,24.450000000000003,11.121904389422763
fig05,(b) Largest individual allocation share.,RR,24.55,11.12163595970974
fig05,(b) Largest individual allocation share.,RR,24.65,11.118421224391758
fig05,(b) Largest individual allocation share.,RR,24.75,11.116763962685276
fig05,(b) Largest individual allocation share.,RR,24.85,11.115476225548484
fig05,(b) Largest individual allocation share.,RR,24.950000000000003,11.114518948809351
fig05,(b) Largest individual allocation share.,RR,25.05,11.11369860426464
fig05,(b) Largest individual allocation share.,RR,25.15,11.114783591299046
fig05,(b) Largest individual allocation share.,RR,25.25,11.118728497861118
fig05,(b) Largest individual allocation share.,RR,25.35,11.118986962580683
fig05,(b) Largest individual allocation share.,RR,25.450000000000003,11.11776032446123
fig05,(b) Largest individual allocation share.,RR,25.55,11.114907311679737
fig05,(b) Largest individual allocation share.,RR,25.65,11.114907311679737
fig05,(b) Largest individual allocation share.,RR,25.75,11.120148401826484
fig05,(b) Largest individual allocation share.,RR,25.85,11.124615240019736
fig05,(b) Largest individual allocation share.,RR,25.950000000000003,11.124250176856508
fig05,(b) Largest individual allocation share.,RR,26.05,11.121876853016468
fig05,(b) Largest individual allocation share.,RR,26.15,11.117016933062212
fig05,(b) Largest individual allocation share.,RR,26.25,11.119869567470088
fig05,(b) Largest individual allocation share.,RR,26.35,11.116346664895032
fig05,(b) Largest individual allocation share.,RR,26.450000000000003,11.118143610088202
fig05,(b) Largest individual allocation share.,RR,26.55,11.11749401018269
fig05,(b) Largest individual allocation share.,RR,26.65,11.11735939314125
fig05,(b) Largest individual allocation share.,RR,26.75,11.118541593926231
fig05,(b) Largest individual allocation share.,RR,26.85,11.116838239628535
fig05,(b) Largest individual allocation share.,RR,26.950000000000003,11.118854631057772
fig05,(b) Largest individual allocation share.,RR,27.05,11.116695829624328
fig05,(b) Largest individual allocation share.,RR,27.15,11.11749261697772
fig05,(b) Largest individual allocation share.,RR,27.25,11.115476225548484
fig05,(b) Largest individual allocation share.,RR,27.35,11.118776462222598
fig05,(b) Largest individual allocation share.,RR,27.450000000000003,11.119751764775383
fig05,(b) Largest individual allocation share.,RR,27.55,11.120313644600529
fig05,(b) Largest individual allocation share.,RR,27.65,11.119172209359856
fig05,(b) Largest individual allocation share.,RR,27.75,11.120480237730222
fig05,(b) Largest individual allocation share.,RR,27.85,11.121756329244215
fig05,(b) Largest individual allocation share.,RR,27.950000000000003,11.121135673832098
fig05,(b) Largest individual allocation share.,RR,28.05,11.120020964360586
fig05,(b) Largest individual allocation share.,RR,28.15,11.122045109520712
fig05,(b) Largest individual allocation share.,RR,28.25,11.118987806935108
fig05,(b) Largest individual allocation share.,RR,28.35,11.118426261562242
fig05,(b) Largest individual allocation share.,RR,28.450000000000003,11.11610262553659
fig05,(b) Largest individual allocation share.,RR,28.55,11.118598382749326
fig05,(b) Largest individual allocation share.,RR,28.65,11.121661357510414
fig05,(b) Largest individual allocation share.,RR,28.75,11.119864412317243
fig05,(b) Largest individual allocation share.,RR,28.85,11.117368655104505
fig05,(b) Largest individual allocation share.,RR,28.950000000000003,11.112901816911252
fig05,(b) Largest individual allocation share.,RR,29.05,11.114258334360995
fig05,(b) Largest individual allocation share.,RR,29.15,11.118873130716628
fig05,(b) Largest individual allocation share.,RR,29.25,11.121459194933776
fig05,(b) Largest individual allocation share.,RR,29.35,11.123771440586752
fig05,(b) Largest individual allocation share.,RR,29.450000000000003,11.123524219353415
fig05,(b) Largest individual allocation share.,RR,29.55,11.120438474931598
fig05,(b) Largest individual allocation share.,RR,29.65,11.118566657022043
fig05,(b) Largest individual allocation share.,RR,29.75,11.114199081899756
fig05,(b) Largest individual allocation share.,RR,29.85,11.114950737592247
fig05,(b) Largest individual allocation share.,RR,29.950000000000003,11.112454980379509
fig05,(b) Largest individual allocation share.,RR,30.05,11.1172743736179
fig05,(b) Largest individual allocation share.,RR,30.15,11.120545300705132
fig05,(b) Largest individual allocation share.,RR,30.25,11.122695491534566
fig05,(b) Largest individual allocation share.,RR,30.35,11.121258591888708
fig05,(b) Largest individual allocation share.,PF,0.45,12.38771735109138
fig05,(b) Largest individual allocation share.,PF,0.55,12.800314075156374
fig05,(b) Largest individual allocation share.,PF,0.65,13.308857770053132
fig05,(b) Largest individual allocation share.,PF,0.75,13.392098613560348
fig05,(b) Largest individual allocation share.,PF,0.8500000000000001,12.910046533329847
fig05,(b) Largest individual allocation share.,PF,0.95,13.660093668804071
fig05,(b) Largest individual allocation share.,PF,1.05,13.721792578126577
fig05,(b) Largest individual allocation share.,PF,1.15,14.22533071548918
fig05,(b) Largest individual allocation share.,PF,1.25,13.155368613869683
fig05,(b) Largest individual allocation share.,PF,1.35,13.770818551507348
fig05,(b) Largest individual allocation share.,PF,1.4500000000000002,14.610584131838964
fig05,(b) Largest individual allocation share.,PF,1.55,14.275803860709525
fig05,(b) Largest individual allocation share.,PF,1.65,14.351125813389968
fig05,(b) Largest individual allocation share.,PF,1.75,13.76414443272524
fig05,(b) Largest individual allocation share.,PF,1.85,15.04542080834124
fig05,(b) Largest individual allocation share.,PF,1.95,14.696286076515776
fig05,(b) Largest individual allocation share.,PF,2.0500000000000003,14.248139063561544
fig05,(b) Largest individual allocation share.,PF,2.15,14.16346138155881
fig05,(b) Largest individual allocation share.,PF,2.25,13.871236424854771
fig05,(b) Largest individual allocation share.,PF,2.35,13.710607637030146
fig05,(b) Largest individual allocation share.,PF,2.45,13.317701489617754
fig05,(b) Largest individual allocation share.,PF,2.5500000000000003,14.72837833897385
fig05,(b) Largest individual allocation share.,PF,2.6500000000000004,15.4867853928392
fig05,(b) Largest individual allocation share.,PF,2.75,15.179110376331522
fig05,(b) Largest individual allocation share.,PF,2.85,15.561585169183674
fig05,(b) Largest individual allocation share.,PF,2.95,14.501168232957108
fig05,(b) Largest individual allocation share.,PF,3.0500000000000003,14.147754430773304
fig05,(b) Largest individual allocation share.,PF,3.1500000000000004,12.203659392338642
fig05,(b) Largest individual allocation share.,PF,3.25,12.493864811514683
fig05,(b) Largest individual allocation share.,PF,3.35,13.271259586550968
fig05,(b) Largest individual allocation share.,PF,3.45,13.108935537434467
fig05,(b) Largest individual allocation share.,PF,3.5500000000000003,13.863216186329398
fig05,(b) Largest individual allocation share.,PF,3.65,13.69750119129464
fig05,(b) Largest individual allocation share.,PF,3.75,14.038920777997246
fig05,(b) Largest individual allocation share.,PF,3.85,13.575159892656169
fig05,(b) Largest individual allocation share.,PF,3.95,13.450220293604325
fig05,(b) Largest individual allocation share.,PF,4.05,12.962798909956524
fig05,(b) Largest individual allocation share.,PF,4.15,13.445306771591746
fig05,(b) Largest individual allocation share.,PF,4.25,12.986637831964734
fig05,(b) Largest individual allocation share.,PF,4.3500000000000005,13.424895602743172
fig05,(b) Largest individual allocation share.,PF,4.45,13.044832033391716
fig05,(b) Largest individual allocation share.,PF,4.55,13.810737291966175
fig05,(b) Largest individual allocation share.,PF,4.65,13.5810715439625
fig05,(b) Largest individual allocation share.,PF,4.75,13.627015616458609
fig05,(b) Largest individual allocation share.,PF,4.8500000000000005,13.449068789194932
fig05,(b) Largest individual allocation share.,PF,4.95,13.40920463492606
fig05,(b) Largest individual allocation share.,PF,5.050000000000001,13.3079733190721
fig05,(b) Largest individual allocation share.,PF,5.15,12.78870223376328
fig05,(b) Largest individual allocation share.,PF,5.25,12.978852908098192
fig05,(b) Largest individual allocation share.,PF,5.3500000000000005,13.481464377690797
fig05,(b) Largest individual allocation share.,PF,5.45,14.61499705702934
fig05,(b) Largest individual allocation share.,PF,5.550000000000001,14.49083026370802
fig05,(b) Largest individual allocation share.,PF,5.65,13.737180912050285
fig05,(b) Largest individual allocation share.,PF,5.75,13.97250968395427
fig05,(b) Largest individual allocation share.,PF,5.8500000000000005,14.19077786854679
fig05,(b) Largest individual allocation share.,PF,5.95,14.869304928101103
fig05,(b) Largest individual allocation share.,PF,6.050000000000001,13.58408000918986
fig05,(b) Largest individual allocation share.,PF,6.15,14.382021261869292
fig05,(b) Largest individual allocation share.,PF,6.25,16.153982288779286
fig05,(b) Largest individual allocation share.,PF,6.3500000000000005,15.938439320836176
fig05,(b) Largest individual allocation share.,PF,6.45,15.384536328114814
fig05,(b) Largest individual allocation share.,PF,6.550000000000001,13.380230828976286
fig05,(b) Largest individual allocation share.,PF,6.65,14.079947311195092
fig05,(b) Largest individual allocation share.,PF,6.75,13.696572752213651
fig05,(b) Largest individual allocation share.,PF,6.8500000000000005,13.462661781771653
fig05,(b) Largest individual allocation share.,PF,6.95,13.229218626135332
fig05,(b) Largest individual allocation share.,PF,7.050000000000001,14.610290129158054
fig05,(b) Largest individual allocation share.,PF,7.15,14.044681070594615
fig05,(b) Largest individual allocation share.,PF,7.25,13.888591876769572
fig05,(b) Largest individual allocation share.,PF,7.35,13.089757587369244
fig05,(b) Largest individual allocation share.,PF,7.45,14.700359389038637
fig05,(b) Largest individual allocation share.,PF,7.550000000000001,15.251335886887029
fig05,(b) Largest individual allocation share.,PF,7.65,14.68968115757049
fig05,(b) Largest individual allocation share.,PF,7.75,14.889245743927532
fig05,(b) Largest individual allocation share.,PF,7.85,14.437750128578886
fig05,(b) Largest individual allocation share.,PF,7.95,14.516876188528286
fig05,(b) Largest individual allocation share.,PF,8.05,13.290461094188665
fig05,(b) Largest individual allocation share.,PF,8.15,14.00387329344992
fig05,(b) Largest individual allocation share.,PF,8.25,14.338727012180565
fig05,(b) Largest individual allocation share.,PF,8.35,15.27444443210158
fig05,(b) Largest individual allocation share.,PF,8.450000000000001,14.222694363739537
fig05,(b) Largest individual allocation share.,PF,8.55,13.640256659735073
fig05,(b) Largest individual allocation share.,PF,8.65,12.41530419520385
fig05,(b) Largest individual allocation share.,PF,8.75,13.72686709981656
fig05,(b) Largest individual allocation share.,PF,8.85,15.246618354144871
fig05,(b) Largest individual allocation share.,PF,8.950000000000001,16.424477353416773
fig05,(b) Largest individual allocation share.,PF,9.05,15.550583454971838
fig05,(b) Largest individual allocation share.,PF,9.15,14.783190691209562
fig05,(b) Largest individual allocation share.,PF,9.25,13.988744263617832
fig05,(b) Largest individual allocation share.,PF,9.35,14.782894208711175
fig05,(b) Largest individual allocation share.,PF,9.45,16.837502336432507
fig05,(b) Largest individual allocation share.,PF,9.55,16.35761939745169
fig05,(b) Largest individual allocation share.,PF,9.65,15.40367771802502
fig05,(b) Largest individual allocation share.,PF,9.75,12.653314873322552
fig05,(b) Largest individual allocation share.,PF,9.85,14.113955091185248
fig05,(b) Largest individual allocation share.,PF,9.95,13.956224114127934
fig05,(b) Largest individual allocation share.,PF,10.05,14.239242982052462
fig05,(b) Largest individual allocation share.,PF,10.15,14.17100064505725
fig05,(b) Largest individual allocation share.,PF,10.25,14.70906020850527
fig05,(b) Largest individual allocation share.,PF,10.35,14.34908006947846
fig05,(b) Largest individual allocation share.,PF,10.45,13.4419683133101
fig05,(b) Largest individual allocation share.,PF,10.55,12.85432972774806
fig05,(b) Largest individual allocation share.,PF,10.65,13.7410394265233
fig05,(b) Largest individual allocation share.,PF,10.75,13.723023179143844
fig05,(b) Largest individual allocation share.,PF,10.85,13.939576497128796
fig05,(b) Largest individual allocation share.,PF,10.95,13.734799617823615
fig05,(b) Largest individual allocation share.,PF,11.05,13.148173026321851
fig05,(b) Largest individual allocation share.,PF,11.15,13.235129548060982
fig05,(b) Largest individual allocation share.,PF,11.25,12.592484421014584
fig05,(b) Largest individual allocation share.,PF,11.35,12.87039546989625
fig05,(b) Largest individual allocation share.,PF,11.45,12.61457581785018
fig05,(b) Largest individual allocation share.,PF,11.55,12.83801092152394
fig05,(b) Largest individual allocation share.,PF,11.65,12.4916763979408
fig05,(b) Largest individual allocation share.,PF,11.75,13.232916290124086
fig05,(b) Largest individual allocation share.,PF,11.85,12.971486526135235
fig05,(b) Largest individual allocation share.,PF,11.95,14.344953068420052
fig05,(b) Largest individual allocation share.,PF,12.05,13.419281255955786
fig05,(b) Largest individual allocation share.,PF,12.15,14.366059517002917
fig05,(b) Largest individual allocation share.,PF,12.25,13.400521786759304
fig05,(b) Largest individual allocation share.,PF,12.35,13.569530217108564
fig05,(b) Largest individual allocation share.,PF,12.45,13.70385959672096
fig05,(b) Largest individual allocation share.,PF,12.55,14.56224389785209
fig05,(b) Largest individual allocation share.,PF,12.65,16.187784733750213
fig05,(b) Largest individual allocation share.,PF,12.75,15.344415965853145
fig05,(b) Largest individual allocation share.,PF,12.85,15.511766394877304
fig05,(b) Largest individual allocation share.,PF,12.95,14.253380650642503
fig05,(b) Largest individual allocation share.,PF,13.05,14.510597228613795
fig05,(b) Largest individual allocation share.,PF,13.15,13.695492662473796
fig05,(b) Largest individual allocation share.,PF,13.25,14.692755648730492
fig05,(b) Largest individual allocation share.,PF,13.35,14.514302920806989
fig05,(b) Largest individual allocation share.,PF,13.45,13.880321598146418
fig05,(b) Largest individual allocation share.,PF,13.55,13.99309935952016
fig05,(b) Largest individual allocation share.,PF,13.65,14.88297310649389
fig05,(b) Largest individual allocation share.,PF,13.75,16.82694108819772
fig05,(b) Largest individual allocation share.,PF,13.85,15.661041353476916
fig05,(b) Largest individual allocation share.,PF,13.95,14.517169454411093
fig05,(b) Largest individual allocation share.,PF,14.05,13.709243898234527
fig05,(b) Largest individual allocation share.,PF,14.15,14.895099993688952
fig05,(b) Largest individual allocation share.,PF,14.25,16.453337037226564
fig05,(b) Largest individual allocation share.,PF,14.35,16.354404099624983
fig05,(b) Largest individual allocation share.,PF,14.45,16.167292721882504
fig05,(b) Largest individual allocation share.,PF,14.55,15.780097108271796
fig05,(b) Largest individual allocation share.,PF,14.65,14.90736726585783
fig05,(b) Largest individual allocation share.,PF,14.75,14.282520414595888
fig05,(b) Largest individual allocation share.,PF,14.85,13.399046030216878
fig05,(b) Largest individual allocation share.,PF,14.95,14.744665453940735
fig05,(b) Largest individual allocation share.,PF,15.05,15.159608446575184
fig05,(b) Largest individual allocation share.,PF,15.15,16.083032399205646
fig05,(b) Largest individual allocation share.,PF,15.25,15.65948951316434
fig05,(b) Largest individual allocation share.,PF,15.35,16.12060267960492
fig05,(b) Largest individual allocation share.,PF,15.45,15.100972414691634
fig05,(b) Largest individual allocation share.,PF,15.55,14.25911664456139
fig05,(b) Largest individual allocation share.,PF,15.65,13.211533898865438
fig05,(b) Largest individual allocation share.,PF,15.75,14.126104129473404
fig05,(b) Largest individual allocation share.,PF,15.85,14.379800239312011
fig05,(b) Largest individual allocation share.,PF,15.95,14.316621279906636
fig05,(b) Largest individual allocation share.,PF,16.05,15.16904715591742
fig05,(b) Largest individual allocation share.,PF,16.150000000000002,14.730308475591498
fig05,(b) Largest individual allocation share.,PF,16.25,14.454465869560211
fig05,(b) Largest individual allocation share.,PF,16.35,12.831114455852406
fig05,(b) Largest individual allocation share.,PF,16.45,13.737074324076424
fig05,(b) Largest individual allocation share.,PF,16.55,13.900485336544042
fig05,(b) Largest individual allocation share.,PF,16.650000000000002,13.693709330501788
fig05,(b) Largest individual allocation share.,PF,16.75,13.868128726619297
fig05,(b) Largest individual allocation share.,PF,16.85,14.287432539848558
fig05,(b) Largest individual allocation share.,PF,16.95,15.146382014736464
fig05,(b) Largest individual allocation share.,PF,17.05,14.900384301757615
fig05,(b) Largest individual allocation share.,PF,17.150000000000002,13.938698342372629
fig05,(b) Largest individual allocation share.,PF,17.25,14.177810939171556
fig05,(b) Largest individual allocation share.,PF,17.35,14.051284857040594
fig05,(b) Largest individual allocation share.,PF,17.45,15.181664273041353
fig05,(b) Largest individual allocation share.,PF,17.55,14.84259873637969
fig05,(b) Largest individual allocation share.,PF,17.650000000000002,14.614779478316258
fig05,(b) Largest individual allocation share.,PF,17.75,13.989318623837836
fig05,(b) Largest individual allocation share.,PF,17.85,14.1683945733811
fig05,(b) Largest individual allocation share.,PF,17.95,14.301760023832506
fig05,(b) Largest individual allocation share.,PF,18.05,14.618244222916283
fig05,(b) Largest individual allocation share.,PF,18.15,14.311759752011326
fig05,(b) Largest individual allocation share.,PF,18.25,13.615184268497552
fig05,(b) Largest individual allocation share.,PF,18.35,13.477363009083
fig05,(b) Largest individual allocation share.,PF,18.45,13.431824166374346
fig05,(b) Largest individual allocation share.,PF,18.55,13.41831768459051
fig05,(b) Largest individual allocation share.,PF,18.65,12.987383605857689
fig05,(b) Largest individual allocation share.,PF,18.75,13.367243525811949
fig05,(b) Largest individual allocation share.,PF,18.85,13.67603383072307
fig05,(b) Largest individual allocation share.,PF,18.95,14.181328675640556
fig05,(b) Largest individual allocation share.,PF,19.05,14.153409791589596
fig05,(b) Largest individual allocation share.,PF,19.15,14.976230548911923
fig05,(b) Largest individual allocation share.,PF,19.25,14.4359951030161
fig05,(b) Largest individual allocation share.,PF,19.35,14.600239299253737
fig05,(b) Largest individual allocation share.,PF,19.450000000000003,15.399690092060894
fig05,(b) Largest individual allocation share.,PF,19.55,15.80556986389064
fig05,(b) Largest individual allocation share.,PF,19.65,14.520411383878743
fig05,(b) Largest individual allocation share.,PF,19.75,13.842813300620286
fig05,(b) Largest individual allocation share.,PF,19.85,13.564816128371248
fig05,(b) Largest individual allocation share.,PF,19.950000000000003,14.038587848932684
fig05,(b) Largest individual allocation share.,PF,20.05,13.143858888165983
fig05,(b) Largest individual allocation share.,PF,20.15,13.49165497658782
fig05,(b) Largest individual allocation share.,PF,20.25,13.76490518477622
fig05,(b) Largest individual allocation share.,PF,20.35,15.125492186872656
fig05,(b) Largest individual allocation share.,PF,20.450000000000003,14.715631840247903
fig05,(b) Largest individual allocation share.,PF,20.55,15.15938838622561
fig05,(b) Largest individual allocation share.,PF,20.65,13.829431131740057
fig05,(b) Largest individual allocation share.,PF,20.75,14.123260010777209
fig05,(b) Largest individual allocation share.,PF,20.85,13.474426319192142
fig05,(b) Largest individual allocation share.,PF,20.950000000000003,14.582161351455476
fig05,(b) Largest individual allocation share.,PF,21.05,14.796413502109711
fig05,(b) Largest individual allocation share.,PF,21.15,15.081957547169816
fig05,(b) Largest individual allocation share.,PF,21.25,14.24666450186857
fig05,(b) Largest individual allocation share.,PF,21.35,13.615240970652124
fig05,(b) Largest individual allocation share.,PF,21.450000000000003,13.219781698994586
fig05,(b) Largest individual allocation share.,PF,21.55,13.326170132136506
fig05,(b) Largest individual allocation share.,PF,21.65,13.858848069324338
fig05,(b) Largest individual allocation share.,PF,21.75,14.4713694016552
fig05,(b) Largest individual allocation share.,PF,21.85,15.380567514862747
fig05,(b) Largest individual allocation share.,PF,21.950000000000003,14.984030090023436
fig05,(b) Largest individual allocation share.,PF,22.05,14.78741462095084
fig05,(b) Largest individual allocation share.,PF,22.15,13.576735426184351
fig05,(b) Largest individual allocation share.,PF,22.25,13.47037212614736
fig05,(b) Largest individual allocation share.,PF,22.35,13.484752146613802
fig05,(b) Largest individual allocation share.,PF,22.450000000000003,13.158014515202188
fig05,(b) Largest individual allocation share.,PF,22.55,13.196834188700072
fig05,(b) Largest individual allocation share.,PF,22.65,13.433606741673016
fig05,(b) Largest individual allocation share.,PF,22.75,13.390310779591164
fig05,(b) Largest individual allocation share.,PF,22.85,14.495396140736998
fig05,(b) Largest individual allocation share.,PF,22.950000000000003,14.376116158086814
fig05,(b) Largest individual allocation share.,PF,23.05,14.576932664762309
fig05,(b) Largest individual allocation share.,PF,23.15,13.939785840203852
fig05,(b) Largest individual allocation share.,PF,23.25,13.473387705796386
fig05,(b) Largest individual allocation share.,PF,23.35,13.957944526003653
fig05,(b) Largest individual allocation share.,PF,23.450000000000003,14.575424491824306
fig05,(b) Largest individual allocation share.,PF,23.55,14.101844502086292
fig05,(b) Largest individual allocation share.,PF,23.65,14.1187772548681
fig05,(b) Largest individual allocation share.,PF,23.75,13.930536119287751
fig05,(b) Largest individual allocation share.,PF,23.85,14.30801977979606
fig05,(b) Largest individual allocation share.,PF,23.950000000000003,14.17798408372263
fig05,(b) Largest individual allocation share.,PF,24.05,13.461907296613656
fig05,(b) Largest individual allocation share.,PF,24.15,13.777103720316768
fig05,(b) Largest individual allocation share.,PF,24.25,13.95400092829056
fig05,(b) Largest individual allocation share.,PF,24.35,14.632654908831332
fig05,(b) Largest individual allocation share.,PF,24.450000000000003,14.110787556958485
fig05,(b) Largest individual allocation share.,PF,24.55,14.595023179928846
fig05,(b) Largest individual allocation share.,PF,24.65,15.070679598981492
fig05,(b) Largest individual allocation share.,PF,24.75,15.671218612153808
fig05,(b) Largest individual allocation share.,PF,24.85,14.565424549017663
fig05,(b) Largest individual allocation share.,PF,24.950000000000003,12.9708625770972
fig05,(b) Largest individual allocation share.,PF,25.05,13.391792597680007
fig05,(b) Largest individual allocation share.,PF,25.15,13.467474215609366
fig05,(b) Largest individual allocation share.,PF,25.25,14.332978468136169
fig05,(b) Largest individual allocation share.,PF,25.35,14.160339396418555
fig05,(b) Largest individual allocation share.,PF,25.450000000000003,14.717645855703845
fig05,(b) Largest individual allocation share.,PF,25.55,14.814092493559944
fig05,(b) Largest individual allocation share.,PF,25.65,14.271368969704346
fig05,(b) Largest individual allocation share.,PF,25.75,14.182322412641222
fig05,(b) Largest individual allocation share.,PF,25.85,14.758756268190234
fig05,(b) Largest individual allocation share.,PF,25.950000000000003,14.799146661593412
fig05,(b) Largest individual allocation share.,PF,26.05,14.664283621069991
fig05,(b) Largest individual allocation share.,PF,26.15,13.673226482721311
