scheduler,pdb_ms,mean,CI95_low,CI95_high,CI95,n
RR,60,2.756666666666667,2.3376747556422077,3.175658577691126,0.418991911024459,100
PF,60,2.47,1.9733820114695941,2.9666179885304063,0.496617988530406,100
MR,60,2.623333333333333,1.952440555817761,3.2942261108489053,0.670892777515572,100
IA-FMR,60,2.3433333333333333,2.013520083859302,2.6731465828073646,0.3298132494740312,100
RR,80,2.726666666666667,2.3810324943111434,3.0723008390221906,0.3456341723555236,100
PF,80,2.29,2.055693522907215,2.524306477092785,0.2343064770927851,100
MR,80,1.9633333333333327,1.8719256082166946,2.054741058449971,0.0914077251166381,100
IA-FMR,80,2.1666666666666665,1.9472125126812405,2.3861208206520925,0.2194541539854259,100
