bandwidth_mhz,scheduler,metric,mean,CI95_low,CI95_high,CI95,n
10,RR,served_ues_per_slot,8.99891119954644,8.99843523818062,8.999387160912258,0.0004759613658184,100
10,RR,pending_demand_without_allocation_pct,0.0120977828173449,0.00680932319714,0.017386242437549798,0.0052884596202049,100
10,RR,per_flow_throughput_p5_mbps,0.1813590439,0.1674312853203917,0.19528680247960828,0.0139277585796083,100
10,PF,served_ues_per_slot,6.655976741310742,6.525065515426879,6.7868879671946045,0.1309112258838626,100
10,PF,pending_demand_without_allocation_pct,26.04470287432509,24.590133697837725,27.499272050812454,1.454569176487363,100
10,PF,per_flow_throughput_p5_mbps,0.22309899975,0.2096643571282852,0.2365336423717148,0.0134346426217148,100
10,MR,served_ues_per_slot,4.010210000655335,3.8401951316814475,4.180224869629223,0.1700148689738878,100
10,MR,pending_demand_without_allocation_pct,55.4421111038296,53.55305700411974,57.33116520353947,1.889054099709864,100
10,MR,per_flow_throughput_p5_mbps,0.0,0.0,0.0,0.0,100
10,IA-FMR,served_ues_per_slot,7.299710347097598,7.209480902276481,7.389939791918715,0.0902294448211163,100
10,IA-FMR,pending_demand_without_allocation_pct,18.89210725447111,17.889557867569817,19.894656641372404,1.0025493869012925,100
10,IA-FMR,per_flow_throughput_p5_mbps,0.0,0.0,0.0,0.0,100
15,RR,served_ues_per_slot,9.0,9.0,9.0,0.0,100
15,RR,pending_demand_without_allocation_pct,0.0,0.0,0.0,0.0,100
15,RR,per_flow_throughput_p5_mbps,0.28395370625,0.2615287981438468,0.3063786143561532,0.0224249081061532,100
15,PF,served_ues_per_slot,6.342207712374168,6.208303054885836,6.476112369862499,0.1339046574883313,100
15,PF,pending_demand_without_allocation_pct,29.531025418064804,28.04319589041668,31.018854945712928,1.4878295276481253,100
15,PF,per_flow_throughput_p5_mbps,0.301421283,0.2802089185467452,0.3226336474532548,0.0212123644532548,100
15,MR,served_ues_per_slot,4.525952566452134,4.362683617895207,4.689221515009062,0.1632689485569277,100
15,MR,pending_demand_without_allocation_pct,49.70275551797308,47.891521347513304,51.51398968843286,1.8112341704597743,100
15,MR,per_flow_throughput_p5_mbps,0.0,0.0,0.0,0.0,100
15,IA-FMR,served_ues_per_slot,9.0,9.0,9.0,0.0,100
15,IA-FMR,pending_demand_without_allocation_pct,0.0,0.0,0.0,0.0,100
15,IA-FMR,per_flow_throughput_p5_mbps,0.418279787,0.3882448306165425,0.4483147433834575,0.0300349563834575,100
20,RR,served_ues_per_slot,9.0,9.0,9.0,0.0,100
