bandwidth_mhz,seed,identical_pct,same_ue_set_pct,divergence_norm,ues_target_positive,ues_applied_positive,jain_target,jain_applied,n_decisions
10,106555,0.0,0.0,0.23077804505542587,9.0,6.999854163628409,0.9629634909141832,0.7664242216036604,47999
10,118866,0.0,0.0,0.23077804523906448,9.0,6.999854160590025,0.9629634909251826,0.7664242212768199,47998
10,121119,0.0,0.0,0.11553138513956232,9.0,7.998500851788757,0.9629581278579755,0.8732243880374818,14675
10,134309,0.0,0.0,0.23077804505542587,9.0,6.999854163628409,0.9629634909141832,0.7664242216036604,47999
10,13684,0.0,0.0,0.23077804505542587,9.0,6.999854163628409,0.9629634909141832,0.7664242216036604,47999
10,155479,0.0,0.0,0.23077804597369547,9.0,6.9998541484352215,0.962963490969185,0.7664242199693214,47994
10,156942,0.0,0.0,0.23077810719167752,9.0,6.999853135555882,0.9629634946359719,0.7664241110133707,47663
10,157222,0.0,0.0,0.23077804505542587,9.0,6.999854163628409,0.9629634909141832,0.7664242216036604,47999
10,158726,0.0,0.0,0.23077804505542587,9.0,6.999854163628409,0.9629634909141832,0.7664242216036604,47999
10,163306,0.0,0.0,0.11541266493133473,9.0,7.999687447907984,0.9629561378761785,0.8733486005586748,47992
10,172724,0.0,0.0,0.2307780463410569,9.0,6.9998541423570595,0.9629634909911888,0.7664242193154904,47992
10,180938,0.0,0.0,0.11542950775515702,9.0,7.999541456500896,0.9629590730935281,0.8733342277936519,47978
10,211309,0.0,0.0,0.2307876633285035,9.0,6.999770795132522,0.9629634909911888,0.7664152536117411,47992
10,230112,0.0,0.0,0.23077804505542587,9.0,6.999854163628409,0.9629634909141832,0.7664242216036604,47999
10,238035,0.0,0.0,0.23077804505542587,9.0,6.999854163628409,0.9629634909141832,0.7664242216036604,47999
10,264128,0.0,0.0,0.23077804542271074,9.0,6.999854157551514,0.9629634909361826,0.7664242209499658,47997
10,267613,0.0,0.0,0.11544967911749922,9.0,7.999307958477509,0.9629556974171768,0.8733093078428605,26010
10,268959,0.0,0.0,0.2307780869385994,9.0,6.999853470652265,0.9629634934228688,0.7664241470598608,47772
10,271204,0.0,0.0,0.11541266084069061,9.0,7.999687493489447,0.9629561388715245,0.8733486058689215,47999
10,274172,0.0,0.0,0.23077811763299194,9.0,6.999852962799588,0.9629634952613775,0.7664240924298875,47607
10,278396,0.0,0.0,0.23077804505542587,9.0,6.999854163628409,0.9629634909141832,0.7664242216036604,47999
10,281723,0.0,0.0,0.23077811035876775,9.0,6.999853083154934,0.9629634948256717,0.7664241053765739,47646
10,281986,0.0,0.0,0.23077804505542587,9.0,6.999854163628409,0.9629634909141832,0.7664242216036604,47999
10,296760,0.0,0.0,0.23077804505542587,9.0,6.999854163628409,0.9629634909141832,0.7664242216036604,47999
10,353309,0.0,0.0,0.23077805111954305,9.0,6.999854063294834,0.9629634912774069,0.7664242108107262,47966
10,353731,0.0,0.0,0.23077804505542587,9.0,6.999854163628409,0.9629634909141832,0.7664242216036604,47999
10,366131,0.0,0.0,0.11541266142499529,9.0,7.999687486978624,0.9629579737199905,0.8733514999730225,47998
10,378825,0.0,0.0,0.23077804505542587,9.0,6.999854163628409,0.9629634909141832,0.7664242216036604,47999
10,394058,0.0,0.0,0.23077804505542587,9.0,6.999854163628409,0.9629634909141832,0.7664242216036604,47999
10,414113,0.0,0.0,0.23077804615737235,9.0,6.9998541453962035,0.9629634909801867,0.7664242196424127,47993
10,414415,0.0,0.0,0.2307780665931955,9.0,6.999853807276221,0.9629634922042357,0.7664241832706726,47882
10,419960,0.0,0.0,0.2307780463410569,9.0,6.9998541423570595,0.9629634909911888,0.7664242193154904,47992
10,450876,0.0,0.0,0.23077804523906448,9.0,6.999854160590025,0.9629634909251826,0.7664242212768199,47998
10,456075,0.0,0.0,0.2307780483620921,9.0,6.999854108918114,0.9629634911122433,0.7664242157184459,47981
10,458555,0.0,0.0,0.23077804505542587,9.0,6.999854163628409,0.9629634909141832,0.7664242216036604,47999
10,464903,0.0,0.0,0.23077804505542587,9.0,6.999854163628409,0.9629634909141832,0.7664242216036604,47999
