scenario,bandwidth_mhz,mode,n_repetitions,bandwidth_mhz_mean,bandwidth_mhz_std,n_flows_mean,n_flows_std,aggregate_throughput_mbps_mean,aggregate_throughput_mbps_std,mean_flow_throughput_mbps_mean,mean_flow_throughput_mbps_std,p5_flow_throughput_mbps_mean,p5_flow_throughput_mbps_std,min_flow_throughput_mbps_mean,min_flow_throughput_mbps_std,max_flow_throughput_mbps_mean,max_flow_throughput_mbps_std,std_flow_throughput_mbps_mean,std_flow_throughput_mbps_std,jain_flow_throughput_mean,jain_flow_throughput_std,offered_mbps_mean,offered_mbps_std,throughput_over_offered_mean,throughput_over_offered_std,mean_delay_ms_mean,mean_delay_ms_std,p95_delay_ms_mean,p95_delay_ms_std,max_delay_ms_mean,max_delay_ms_std,mean_jitter_ms_mean,mean_jitter_ms_std,mean_loss_ratio_mean,mean_loss_ratio_std,max_loss_ratio_mean,max_loss_ratio_std,tx_packets_total_mean,tx_packets_total_std,rx_packets_total_mean,rx_packets_total_std,packet_delivery_ratio_mean,packet_delivery_ratio_std,slot_count_mean,slot_count_std,mean_active_ues_per_slot_mean,mean_active_ues_per_slot_std,mean_served_ues_per_slot_mean,mean_served_ues_per_slot_std,pct_buf_gt0_alloc_eq0_mean,pct_buf_gt0_alloc_eq0_std,jain_rbg_slot_mean_mean,jain_rbg_slot_mean_std,jain_buf_req_slot_mean_mean,jain_buf_req_slot_mean_std,sum_buf_req_mean_per_slot_mean,sum_buf_req_mean_per_slot_std,sum_buf_req_max_per_slot_mean,sum_buf_req_max_per_slot_std,sum_alloc_rbg_mean_per_slot_mean,sum_alloc_rbg_mean_per_slot_std,sum_alloc_rbg_max_per_slot_mean,sum_alloc_rbg_max_per_slot_std,bandwidth_mhz_ci95,bandwidth_mhz_ci99,n_flows_ci95,n_flows_ci99,aggregate_throughput_mbps_ci95,aggregate_throughput_mbps_ci99,mean_flow_throughput_mbps_ci95,mean_flow_throughput_mbps_ci99,p5_flow_throughput_mbps_ci95,p5_flow_throughput_mbps_ci99,min_flow_throughput_mbps_ci95,min_flow_throughput_mbps_ci99,max_flow_throughput_mbps_ci95,max_flow_throughput_mbps_ci99,std_flow_throughput_mbps_ci95,std_flow_throughput_mbps_ci99,jain_flow_throughput_ci95,jain_flow_throughput_ci99,offered_mbps_ci95,offered_mbps_ci99,throughput_over_offered_ci95,throughput_over_offered_ci99,mean_delay_ms_ci95,mean_delay_ms_ci99,p95_delay_ms_ci95,p95_delay_ms_ci99,max_delay_ms_ci95,max_delay_ms_ci99,mean_jitter_ms_ci95,mean_jitter_ms_ci99,mean_loss_ratio_ci95,mean_loss_ratio_ci99,max_loss_ratio_ci95,max_loss_ratio_ci99,tx_packets_total_ci95,tx_packets_total_ci99,rx_packets_total_ci95,rx_packets_total_ci99,packet_delivery_ratio_ci95,packet_delivery_ratio_ci99,slot_count_ci95,slot_count_ci99,mean_active_ues_per_slot_ci95,mean_active_ues_per_slot_ci99,mean_served_ues_per_slot_ci95,mean_served_ues_per_slot_ci99,pct_buf_gt0_alloc_eq0_ci95,pct_buf_gt0_alloc_eq0_ci99,jain_rbg_slot_mean_ci95,jain_rbg_slot_mean_ci99,jain_buf_req_slot_mean_ci95,jain_buf_req_slot_mean_ci99,sum_buf_req_mean_per_slot_ci95,sum_buf_req_mean_per_slot_ci99,sum_buf_req_max_per_slot_ci95,sum_buf_req_max_per_slot_ci99,sum_alloc_rbg_mean_per_slot_ci95,sum_alloc_rbg_mean_per_slot_ci99,sum_alloc_rbg_max_per_slot_ci95,sum_alloc_rbg_max_per_slot_ci99,bandwidth,n_samples,n_seeds,mean_zero_ue_percent_mean,mean_zero_ue_percent_std,mean_zero_ue_percent_ci95,mean_backlogged_ues_per_slot_mean,mean_backlogged_ues_per_slot_std,mean_backlogged_ues_per_slot_ci95,mean_jain_buf_req_per_slot_mean,mean_jain_buf_req_per_slot_std,mean_jain_buf_req_per_slot_ci95,mean_jain_alloc_per_slot_mean,mean_jain_alloc_per_slot_std,mean_jain_alloc_per_slot_ci95,mode_original
dynamic_continuous_30s,10,RR,100.0,10.0,0.0,36.0,0.0,8.860218847,2.4996981461069803,0.2461171901944444,0.0694360596140827,0.1813590439,0.0702003960665742,0.180291237,0.0711740518948034,0.26652867,0.0724394906959176,0.030163553519329,0.0148560455824917,0.9817311333347838,0.0197552921168695,348.82559999999995,0.0,0.025400139344704,0.0071660398379791,5250.678336111112,137.09290408048045,5398.346500000001,202.50237808555,5431.626,264.67092597519223,38.91480311111111,12.90826344658312,0.9745998580555556,0.0071660335855076,0.9813933,0.0073453978782567,432000.0,0.0,10972.86,3095.7294142842406,0.0254001388888888,0.0071660403108431,26417.45,5922.230961650457,9.0,0.0,8.99891119954644,0.0023989988196492,0.0120977828173449,0.026655542440549,0.9881832279054314,0.0002755510796072,0.9998745360913618,0.0001298899304225,514593857.97609663,13916630.83228086,1236629239.25,19572138.247563943,338.0,0.0,338.0,0.0,0.0,0.0,0.0,0.0,0.4959401121876248,0.656420733167693,0.013776114227434,0.0182339092546581,0.0139277585796083,0.0184346240070823,0.014120931895929,0.0186903060275753,0.01437199495407,0.0190226102567479,0.0029474394435663,0.0039011975699623,0.0039194499559869,0.0051877397098899,0.0,0.0,0.001421742303855,0.0018818020614533,27.199232169567324,36.000596611534164,40.17647181217312,53.17712448526542,52.51071171347813,69.50258516108548,2.56099946780209,3.389709981072727,0.0014217410633647,0.0018818004195542,0.0014573269390461,0.0019289014828302,0.0,0.0,614.1927157939933,812.9385441910415,0.0014217423976712,0.0018818021856274,1174.9706227914508,1555.17785052941,0.0,0.0,0.0004759613658184,0.0006299770900399,0.0052884596202049,0.0069997454448881,5.466933419408309e-05,7.235971350487006e-05,2.5770162195836144e-05,3.410909572896457e-05,2761059.5571245225,3654507.256556954,3883112.228316686,5139643.503810291,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,rr
dynamic_continuous_30s,10,PF,100.0,10.0,0.0,36.0,0.0,10.727558032,1.850649193260783,0.2979877231111111,0.0514069220350217,0.22309899975,0.0677149325691272,0.2216818689999999,0.0686679184742702,0.31983752,0.0544601369737683,0.0331879657204337,0.0216104662704938,0.9839604270323892,0.0189755947501862,348.82559999999995,0.0,0.0307533564967708,0.0053053709167583,5273.594816666667,101.8799098052832,5386.6849250000005,107.42406053933853,5400.2252,111.08903313918064,30.43813088888889,5.937800838360536,0.9692466427777778,0.0053053735744082,0.97712162,0.0070867183267024,432000.0,0.0,13285.45,2291.9206156814985,0.0307533564814814,0.005305371795559,30238.38,4405.59039435446,9.0,0.0,6.655976741310742,0.6598348078823721,26.04470287432509,7.331497865359692,0.6779933472071,0.0712099229506496,0.9998509350780906,0.0001765431170085,505149603.2452848,10344887.643054776,1221637171.67,14457003.411431298,338.0,0.0,338.0,0.0,0.0,0.0,0.0,0.0,0.3671687999429393,0.4859804781502815,0.0101991333317483,0.0134994577263967,0.0134346426217148,0.0177819412926528,0.0136237150252952,0.0180321953913433,0.0108048911755956,0.0143012319693115,0.0042875165080659,0.0056749084426316,0.0037647579984369,0.0049829911813989,0.0,0.0,0.0010525855898848,0.0013931904027407,20.212974105368183,26.75366431486737,21.31293361100476,28.20955829763029,22.04006417481344,29.17198010234884,1.1780596863307302,1.559266500153477,0.0010525861171625,0.0013931911006396,0.0014060049160177,0.001860972232592,0.0,0.0,454.7170501512093,601.8583536779614,0.0010525857642389,0.0013931906335137,874.0691342399248,1156.908037557481,0.0,0.0,0.1309112258838626,0.1732726205499109,1.454569176487363,1.9252513394434552,0.0141280487134088,0.0186997257668406,3.5026154414498535e-05,4.636022252644816e-05,2052425.7083820675,2716567.495066184,2868269.4768279693,3796409.0958418585,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,pf
dynamic_continuous_30s,10,MR,100.0,10.0,0.0,36.0,0.0,28.570236524050003,3.432308010222151,0.7936176812236111,0.0953418891728375,0.0,0.0,0.0,0.0,2.11199285,0.7000087443819827,0.9375191836772422,0.311008554610687,0.4472532096700681,0.0935615254009495,348.82559999999995,0.0,0.0819040704697419,0.0098396104248717,2171.470682430556,592.2281017815361,4875.83615,365.0303397374537,4877.4217,364.5202057362668,2.560172361111112,1.3134889508288334,0.9180959188888888,0.0098395599733014,1.0,0.0,432000.0,0.0,35382.56,4250.697607202704,0.081904074074074,0.0098395777944507,47945.05,533.4427988987865,9.0,0.0,4.010210000655335,0.8569297831345154,55.4421111038296,9.521442034827944,0.4431734831237177,0.0942661036010292,0.9387802973185916,0.0225420316183705,473082404.2847588,6414565.5876731165,1156144341.85,1905724.0168148824,338.0,0.0,338.0,0.0,0.0,0.0,0.0,0.0,0.6809699092280748,0.9013240834843368,0.0189158308118909,0.0250367800967871,0.0,0.0,0.0,0.0,0.1388817348853853,0.1838222962747086,0.0617040972347603,0.0816708464407664,0.0185626066395484,0.0245692565702893,0.0,0.0,0.0019521787082945,0.0025838816975713,117.49805539345677,155.51909952783137,72.42201940391081,95.85696721505532,72.32080881807532,95.72300602634364,0.2605962078444405,0.3449221984876516,0.001952168698703,0.0025838684489889,0.0,0.0,0.0,0.0,843.3384052690164,1116.23319165143,0.001952172234419,0.0025838731288227,105.83505130151924,140.08207899082132,0.0,0.0,0.1700148689738878,0.2250297610511237,1.889054099709864,2.5003306783458177,0.0187023949544441,0.0247542788056302,0.0044723390730847,0.0059195375029841,1272649.8125943462,1684464.9233229605,378095.6449360727,500443.1268155881,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,mr
,10,IA-FMR,100.0,,,36.0,0.0,19.196274237,4.542989002669575,0.5332298399166667,0.1261941389630437,0.0,0.0,0.0,0.0,0.80218564,0.1794578542819601,0.2921336213519295,0.0880653438452832,,,,,,,4267.357130555555,304.1081683110704,,,5372.907000000001,151.4529085094096,13.917565305555554,11.54339470593673,0.9449688388888888,0.0130236686801267,1.0,0.0,,,,,,,,,7.299710347097598,0.4603543103118179,7.299710347097598,0.4603543103118179,18.89210725447111,5.115047892353533,0.7984917140191524,0.0492316346038294,,,481201877.12569255,17332926.42095067,1174055247.77,29466834.79122469,,,,,,,0.0,,0.8904258445232367,,0.0247340512367565,,0.0,,0.0,,0.0351737394392642,,0.0172608073936755,,,,,,,,59.60520098896978,,,,29.684770067844283,,2.262505362363599,,0.0025526390613048,,0.0,,,,,,,,,,0.0902294448211163,,0.0902294448211163,,1.0025493869012925,,0.0096494003823505,,,,3397253.578506331,,5775499.61908004,,,,,,bw10,100.0,100.0,18.89210725447112,5.115047892353535,1.002549386901293,9.0,0.0,0.0,0.9884958049895222,0.0049571220425281,0.0009715959203355,0.7984917140191524,0.0492316346038294,0.0096494003823505,fmr_rl
dynamic_continuous_30s,15,RR,100.0,15.0,0.0,36.0,0.0,16.324707237,4.9465614931170325,0.4534640899166666,0.1374044859199175,0.28395370625,0.1130287706963369,0.2824760639999999,0.113834514419814,0.51351649,0.1511769572992274,0.0806838418626194,0.0361213593457422,0.9670778410700152,0.021098461116923,348.82559999999995,0.0,0.0467990515518356,0.0141806148777986,5257.414097222222,132.71586196019663,5399.261850000001,164.7281229805938,5418.7568,181.6876497410996,21.783241927777777,6.731795057659201,0.9532009483333332,0.0141806049926785,0.97084753,0.0117481087706047,432000.0,0.0,20217.19,6126.0257482797015,0.0467990509259259,0.0141806151580548,28909.16,6410.003824074246,9.0,0.0,9.0,0.0,0.0,0.0,0.9876543209876548,7.89001147215253e-17,0.9992198726524804,0.0006912348687182,485778935.9498272,17002614.038380675,1183070338.47,31560053.15280009,520.0,0.0,520.0,0.0,0.0,0.0,0.0,0.0,0.9813978002344192,1.2989670480925326,0.0272610500065116,0.0360824180025703,0.0224249081061532,0.029681355184858,0.0225847676608911,0.0298929434866431,0.0299935083281667,0.0396990689867771,0.0071664776941952,0.0094854689641919,0.0041859346855975,0.0055404558893039,0.0,0.0,0.0028134339917552,0.0037238294669099,26.33082701290301,34.851185350747635,32.68205959934981,43.25760509470393,36.04682970863416,47.71117682201276,1.3355881394395854,1.767769382141306,0.0028134320305474,0.0037238268710773,0.0023308247800879,0.0030850533631608,0.0,0.0,1215.4035084586926,1608.6943614982497,0.002813434047358,0.0037238295405052,1271.7447586963303,1683.267004201897,0.0,0.0,0.0,0.0,0.0,0.0,1.565378276075062e-17,2.0719170125872546e-17,0.0001371409979536,0.0001815182765253,3373318.6252147257,4464886.4464787645,6261514.545515539,8287669.957925305,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,rr
dynamic_continuous_30s,15,PF,100.0,15.0,0.0,36.0,0.0,17.225097291,3.83143652414418,0.47847492475,0.1064287923373383,0.301421283,0.1069171595426151,0.299981935,0.1076416116376026,0.54614624,0.1156849406531447,0.0853354337309676,0.0361217939656967,0.9662722396569424,0.0230187393238307,348.82559999999995,0.0,0.0493802556091066,0.0109838169106401,5253.535769444445,81.95400363065696,5374.548875,84.76640332331306,5385.1676,87.551421717108,19.93032669444445,4.601597771868621,0.9506197552777778,0.0109837998176091,0.96904087,0.0111089618246401,432000.0,0.0,21332.27,4745.008805337169,0.0493802546296296,0.0109838166790212,29851.37,4766.82869539195,9.0,0.0,6.342207712374168,0.6749226687919924,29.531025418064804,7.49914076435547,0.6452442969488033,0.0765336836553982,0.9992070874327256,0.0005905366759041,483012243.98074186,14777771.098569678,1176226373.46,24208811.913093656,520.0,0.0,520.0,0.0,0.0,0.0,0.0,0.0,0.7601570063902052,1.0061352312402616,0.0211154723997279,0.027948200867785,0.0212123644532548,0.0280764460958907,0.0213560957489003,0.0282666872160344,0.0229518922255839,0.0303788654155158,0.0071665639227942,0.0094855830953919,0.004566917881848,0.0060447209464379,0.0,0.0,0.0021791892750709,0.002884350320734,16.25967432032234,21.52112135341052,16.81765441934531,22.25965751270201,17.370202068674224,22.99100334291256,0.9129569979387344,1.2083795748927,0.0021791858838136,0.0028843458321041,0.0022040180260086,0.0029172133751505,0.0,0.0,941.4097469788944,1246.0393122815406,0.0021791892291178,0.0028843502599109,945.7388131657628,1251.769215409926,0.0,0.0,0.1339046574883313,0.1772346928247772,1.4878295276481253,1.9692743647197464,0.015184282837231,0.0200977453279075,0.0001171624764993,0.0001550749310924,2931909.785956224,3880642.690484397,4803028.283557782,6357234.008378394,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,pf
dynamic_continuous_30s,15,MR,100.0,15.0,0.0,36.0,0.0,51.04668704693,5.086599313693575,1.4179635290813888,0.1412944253803771,0.0,0.0,0.0,0.0,3.0281776,0.9575891877043744,1.467344704293258,0.4148540702221702,0.5067258512026984,0.0902244235758051,348.82559999999995,0.0,0.1463387063533467,0.0145820699905442,2237.0145518555555,494.7498744828929,4372.5602,438.3748902144607,4375.5409,444.7302580445746,2.681734177777778,4.421261789562747,0.853661411388889,0.0145821100683491,1.0,0.0,432000.0,0.0,63218.29,6299.474057403443,0.1463386342592592,0.014582115873619,47980.97,110.65548090603224,8.997736650857918,0.0090032086746417,4.525952566452134,0.8229281681296763,49.70275551797308,9.12920448820451,0.5023474373664,0.0908560124461777,0.8668684737803849,0.0353853131919174,428158429.5822762,1455116.190866765,1067092896.41,1441453.6783596885,520.0,0.0,520.0,0.0,0.0,0.0,0.0,0.0,1.0091813038368052,1.3357409797759328,0.0280328139954668,0.037103916104887,0.0,0.0,0.0,0.0,0.1899856948405479,0.2514629206911687,0.0823070475320785,0.1089406788403418,0.0179005256374397,0.0236929336310064,0.0,0.0,0.0028930826861239,0.0038292515795169,98.15837509740597,129.92131703920768,86.97357821854901,115.1172461703174,88.23448319604361,116.7861657625053,0.8771783390492491,1.1610233459391774,0.0028930906375604,0.0038292621039484,0.0,0.0,0.0,0.0,1249.815652988843,1654.241887474144,0.002893091789326,0.0038292636284123,21.9540474117568,29.058129285924064,0.0017862366010489,0.0023642425979609,0.1632689485569277,0.216100936950853,1.8112341704597743,2.397329098602504,0.0180258328693216,0.0238587888683662,0.0070204461372764,0.0092921832441975,288695.0522679662,382113.5117216125,285984.40978656214,378525.73593725415,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,mr
,15,IA-FMR,100.0,,,36.0,0.0,26.770470292,7.825174384229867,0.7436241747777775,0.2173659551174963,0.418279787,0.1532395733849874,0.417597513,0.1528385415042323,1.01201298,0.3042628674342844,0.1847110912906909,0.0735286528177399,,,,,,,5191.557825,219.2745590578419,,,5364.416800000001,200.6922778576116,14.81104465,7.794836354682819,0.923255395,0.0224329292899809,0.95690246,0.0157735852636327,,,,,,,,,9.0,0.0,9.0,0.0,0.0,0.0,0.9769450594942846,0.001205987526208,,,456488731.0392239,34012229.32951015,1124327037.65,45766385.05945438,,,,,,,0.0,,1.533734179309054,,0.0426037272030292,,0.0300349563834575,,0.0299563541348295,,0.0596355220171197,,0.014411615952277,,,,,,,,42.97781357533701,,,,39.33568646009186,,1.5277879255178326,,0.0043968541408362,,0.003091622711672,,,,,,,,,,0.0,,0.0,,0.0,,0.0002363735551367,,,,6666396.948583989,,8970211.47165306,,,,,,bw15,100.0,100.0,0.0,0.0,0.0,9.0,0.0,0.0,0.9965628441365608,0.0023203906569457,0.0004547965687613,0.9769450594942846,0.001205987526208,0.0002363735551367,fmr_rl
dynamic_continuous_30s,20,RR,100.0,20.0,0.0,36.0,0.0,19.179409627,6.652598555131954,0.5327613785277778,0.1847944043092209,0.3293070615,0.1402560817464383,0.328009061,0.1410006811852962,0.6162505699999999,0.2063819858927504,0.1022039025184668,0.0482403194786483,0.962846018800232,0.0224509768067883,348.82559999999995,0.0,0.0549828040917868,0.0190714172214767,5241.873861111111,145.35577448417345,5393.2126,141.54751475636016,5407.5525,149.73994721067783,18.9928357,6.34695261881196,0.9450172061111112,0.0190713922837995,0.96614832,0.0145517784874939,432000.0,0.0,23752.57,8238.850405557287,0.0549828009259259,0.019071412975827,24664.38,6148.723726945537,9.0,0.0,9.0,0.0,0.0,0.0,0.9971600993965208,7.231314961041786e-17,0.9987453755478566,0.0011521171115919,473629546.9866054,25417949.61705431,1166834875.54,39468867.78333563,689.0,0.0,689.0,0.0,0.0,0.0,0.0,0.0,1.3198755533381796,1.7469723805776511,0.0366632098149494,0.0485270105716014,0.0278268066184933,0.0368312470666147,0.0279745351471627,0.0370267788792587,0.0409461860011216,0.0541959094954362,0.0095708793845638,0.012667907895093,0.0044542737984668,0.0058956265094626,0.0,0.0,0.0037837691767409,0.0050081541623597,28.83858565766001,38.17042637954395,28.08302692766185,37.17037737502018,29.70840552659849,39.321710137524,1.2592353995722927,1.6667097577000205,0.0037837642291058,0.0050081476137257,0.0028870728519187,0.0038212970308159,0.0,0.0,1634.5879204625658,2163.522116499343,0.003783768334404,0.0050081530474521,1219.9067874259947,1614.654850695898,0.0,0.0,0.0,0.0,0.0,0.0,1.4346928882706905e-17,1.8989433087695728e-17,0.0002285800349398,0.000302545953504,5042921.204023575,6674753.569438461,7830623.36821379,10364524.679903936,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,rr
dynamic_continuous_30s,20,PF,100.0,20.0,0.0,36.0,0.0,21.09683387,5.175133771271208,0.5860231630555556,0.1437537158686446,0.31493219,0.1138304776863413,0.31302253,0.1146531996528464,0.71490673,0.1750299768848185,0.1423753192930436,0.0568163468112063,0.9433682631593864,0.0294040318367213,348.82559999999995,0.0,0.0604796031885274,0.0148358772156378,5253.517572222222,101.69378226671968,5403.733375,121.16476509875396,5415.328100000001,127.9103701081427,17.079922222222223,4.045470952775325,0.9395203891666668,0.0148358948928178,0.96769498,0.011832583372718,432000.0,0.0,26127.19,6409.102446962178,0.0604796064814814,0.0148358852938939,27046.31,4850.970584326399,9.0,0.0,6.1055649467069655,0.6380191636300382,32.16038948103371,7.089101818111535,0.6163927301644556,0.0690769822916255,0.9979939586716056,0.0014343596272885,470638895.70440406,17000543.51289661,1154009440.81,30310075.87474408,689.0,0.0,689.0,0.0,0.0,0.0,0.0,0.0,1.0267465402202078,1.3589901283358192,0.028520737228339,0.037749725787106,0.0225839667729701,0.0298918834404332,0.0227471948111247,0.0301079302288374,0.0347259474139479,0.0459628719299533,0.0112723632073433,0.0149199726726227,0.0058337599164055,0.007721498760323,0.0,0.0,0.0029434380395825,0.0038959013568265,20.176046401717183,26.70478722324059,24.039089395592782,31.81786731493279,25.377417429455512,33.58926319039827,0.8026214370306246,1.0623406721988002,0.002943441546735,0.0038959059988539,0.0023475845411472,0.0031072363936757,0.0,0.0,1271.565925477296,1683.0303025722678,0.0029434396423085,0.0038959034781765,962.4325639303576,1273.8648754441124,0.0,0.0,0.1265830020641995,0.167543832369248,1.4064778007133287,1.8615981374360893,0.0137048732866585,0.0181396155497808,0.000284576950054,0.0003766628381259,3372907.832958687,4464342.726486649,6013519.053549225,7959425.9247077955,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,pf
