bandwidth_mhz,identical_pct,same_ue_set_pct,divergence_norm,ues_target_positive,ues_applied_positive,jain_target,jain_applied,seeds
10,0.0,0.0,0.1961778826491937,9.0,7.299710347097599,0.9630482276558687,0.7984917140191523,100
15,100.0,100.0,0.0,9.0,9.0,0.9769450594942848,0.9769450594942848,100
20,100.0,100.0,0.0,9.0,9.0,0.9819596077348688,0.9819596077348688,100
25,100.0,100.0,0.0,9.0,9.0,0.9930964952905061,0.9930964952905061,100
30,100.0,100.0,0.0,9.0,9.0,0.9929382932652652,0.9929382932652652,100
40,98.5414719602757,100.0,0.0009495476030530067,9.0,9.0,0.9946267297837125,0.9942995030548041,100
50,98.74369180223911,100.0,0.0019518212289698909,8.976547845501335,8.976547845501335,0.9946074693129272,0.9930278576935772,100
60,99.29260474428249,100.0,0.001195198976941279,8.980714406811064,8.980714406811064,0.9951154175906711,0.9940994120141603,100
70,99.54156780736866,100.0,0.0006983668932066165,8.982442548327281,8.982442548327281,0.9938347255028367,0.99328533565331,100
80,99.41119788524429,100.0,0.0010244035611849825,8.980580434080746,8.980580434080746,0.9945843130410345,0.9936393361413418,100
90,99.46695668372882,100.0,0.0007653646570040939,8.9784574675164,8.9784574675164,0.9939540310091107,0.9933534509194805,100
100,99.3567749161412,100.0,0.00103263226028038,8.972570409799966,8.972570409799966,0.9941225276342821,0.9932063539319723,100
